Date,Open,High,Low,Close,Volume
31-Mar-17,109.84,110.68,109.77,110.52,711557
30-Mar-17,109.66,110.30,109.16,109.82,377565
29-Mar-17,109.60,110.14,109.05,109.82,512973
28-Mar-17,110.55,110.94,109.31,110.67,637079
27-Mar-17,110.64,111.51,108.98,110.41,991987
24-Mar-17,112.12,112.62,111.10,111.36,628393
23-Mar-17,111.20,112.91,110.99,112.09,568593
22-Mar-17,111.18,111.62,109.53,111.38,822730
21-Mar-17,111.11,111.35,110.00,110.70,1521040
20-Mar-17,110.45,110.85,109.43,109.97,1504583
17-Mar-17,110.00,111.24,109.86,110.27,16444344
16-Mar-17,110.19,110.79,109.25,109.87,1129163
15-Mar-17,108.42,111.06,108.13,110.41,1588818
14-Mar-17,109.00,109.04,106.89,108.18,1120465
13-Mar-17,109.26,109.99,108.69,109.09,2097847
10-Mar-17,107.87,109.36,107.75,108.81,5443696
9-Mar-17,115.68,116.27,112.93,113.70,588015
8-Mar-17,116.66,116.94,115.64,115.69,517147
7-Mar-17,117.38,117.43,116.56,117.16,342600
6-Mar-17,117.03,117.90,116.47,117.51,391987
3-Mar-17,116.31,117.71,115.16,117.59,422920
2-Mar-17,117.99,118.37,116.01,117.01,565773
1-Mar-17,119.48,119.48,117.87,118.18,837466
28-Feb-17,120.48,120.51,118.99,119.31,999091
27-Feb-17,120.31,120.96,119.77,120.47,601076
24-Feb-17,118.87,120.51,118.50,120.20,587158
23-Feb-17,118.92,119.48,118.04,118.87,681895
22-Feb-17,118.62,119.64,117.35,118.49,541924
21-Feb-17,116.33,118.55,115.90,118.47,486110
17-Feb-17,115.42,116.38,115.05,116.38,352130
16-Feb-17,115.40,116.38,115.25,115.82,487278
15-Feb-17,114.74,115.27,113.42,115.23,507555
14-Feb-17,113.90,115.09,113.00,114.98,865868
13-Feb-17,114.96,114.96,113.74,114.26,627307
10-Feb-17,114.92,115.15,114.22,114.37,2640902
9-Feb-17,114.79,115.46,114.25,114.98,622987
8-Feb-17,113.28,115.07,112.57,114.54,666235
7-Feb-17,112.68,114.01,112.68,113.24,591351
6-Feb-17,110.89,112.80,110.70,112.69,1040796
3-Feb-17,110.00,110.90,109.13,110.64,792919
2-Feb-17,108.72,109.14,108.13,109.06,701732
1-Feb-17,110.65,111.48,108.19,108.28,603199
31-Jan-17,111.71,112.94,110.13,110.82,704131
30-Jan-17,112.23,112.55,110.79,112.16,418175
27-Jan-17,113.56,113.98,111.98,112.79,432703
26-Jan-17,113.51,114.53,112.97,113.30,293438
25-Jan-17,114.23,114.33,113.07,113.40,266516
24-Jan-17,113.52,114.63,113.52,114.12,515684
23-Jan-17,110.95,114.18,110.95,113.43,496242
20-Jan-17,109.98,111.64,109.90,111.15,442684
19-Jan-17,110.90,111.11,108.83,109.91,348776
18-Jan-17,110.50,111.59,109.72,111.02,230455
17-Jan-17,109.51,110.70,109.00,110.52,363985
13-Jan-17,109.18,109.77,108.81,109.55,234077
12-Jan-17,109.73,111.31,107.70,109.31,380062
11-Jan-17,111.27,111.68,109.51,109.61,489253
10-Jan-17,110.88,111.42,110.03,110.85,345541
9-Jan-17,112.66,112.88,110.90,111.05,441583
6-Jan-17,112.63,113.21,112.14,112.21,472333
5-Jan-17,112.60,113.49,110.97,112.97,394850
4-Jan-17,110.82,113.62,110.82,113.38,515908
3-Jan-17,111.85,112.19,109.92,110.58,424745
30-Dec-16,110.66,112.25,110.24,111.13,553141
29-Dec-16,108.71,110.62,108.71,110.45,578080
28-Dec-16,108.75,109.30,108.00,108.54,323124
27-Dec-16,109.44,110.85,109.18,109.63,258349
23-Dec-16,108.54,109.49,108.34,109.30,156974
22-Dec-16,108.95,108.95,106.87,108.52,392654
21-Dec-16,111.20,111.82,109.01,109.03,509739
20-Dec-16,109.64,111.02,109.35,111.01,395933
19-Dec-16,108.72,110.00,107.39,109.65,782797
16-Dec-16,106.66,108.88,106.34,107.97,1329621
15-Dec-16,106.92,108.40,105.74,106.00,1392679
14-Dec-16,109.01,109.31,106.72,106.87,611401
13-Dec-16,110.16,110.39,107.77,108.99,648033
12-Dec-16,109.38,110.01,108.44,109.73,602308
9-Dec-16,110.62,111.11,109.20,109.92,518642
8-Dec-16,110.28,110.93,109.45,110.62,633616
7-Dec-16,111.04,111.58,110.23,111.00,744200
6-Dec-16,110.50,111.61,109.85,111.00,802649
5-Dec-16,109.75,110.68,109.35,110.07,639257
2-Dec-16,107.99,110.02,107.89,108.94,514446
1-Dec-16,109.07,109.54,106.10,107.16,676465
30-Nov-16,110.82,111.32,108.98,109.59,1322727
29-Nov-16,112.26,114.02,111.56,111.72,697875
28-Nov-16,112.05,113.06,111.36,112.12,438295
25-Nov-16,110.86,112.36,110.86,111.96,215464
23-Nov-16,109.65,110.74,109.27,110.62,476041
22-Nov-16,109.04,111.53,109.04,111.07,623745
21-Nov-16,107.89,108.89,107.89,108.55,443518
18-Nov-16,107.51,107.91,106.99,107.40,291280
17-Nov-16,106.82,108.05,106.49,107.31,317587
16-Nov-16,106.46,107.04,104.87,106.90,370885
15-Nov-16,106.80,108.24,105.23,106.60,497858
14-Nov-16,104.36,106.31,103.32,106.24,1066659
11-Nov-16,105.91,107.55,104.29,104.46,744108
10-Nov-16,109.10,110.21,105.80,105.93,1131587
9-Nov-16,104.70,109.43,103.66,109.06,787632
8-Nov-16,106.15,107.44,104.50,107.08,345628
7-Nov-16,104.53,106.23,104.07,106.03,342623
4-Nov-16,102.55,103.31,101.73,103.00,612519
3-Nov-16,105.02,105.09,102.42,102.50,861296
2-Nov-16,107.22,107.63,104.45,104.55,646096
1-Nov-16,107.44,109.45,105.52,107.35,798754
31-Oct-16,105.68,108.04,104.86,107.81,555590
28-Oct-16,105.25,106.01,104.46,104.91,295409
27-Oct-16,106.02,106.02,104.03,105.12,555748
26-Oct-16,106.82,106.82,105.22,106.16,451652
25-Oct-16,106.28,107.63,105.58,107.34,427439
24-Oct-16,108.08,108.08,106.00,106.72,252628
21-Oct-16,105.53,106.82,105.19,106.75,376064
20-Oct-16,105.15,106.73,105.01,106.32,365064
19-Oct-16,104.81,105.31,104.45,105.28,1064773
18-Oct-16,104.81,105.55,104.17,105.05,926028
17-Oct-16,103.86,104.70,103.72,104.16,647952
14-Oct-16,103.74,105.41,103.23,103.87,525573
13-Oct-16,103.13,104.34,102.46,103.90,850351
12-Oct-16,102.00,103.61,102.00,103.25,897760
11-Oct-16,104.03,105.38,101.51,101.92,692225
10-Oct-16,104.07,105.15,103.94,104.20,292716
7-Oct-16,104.62,105.63,103.39,103.88,633802
6-Oct-16,102.78,104.35,101.80,104.03,338412
5-Oct-16,106.04,106.63,103.37,103.44,303117
4-Oct-16,106.02,106.57,104.72,105.53,325006
3-Oct-16,108.31,108.51,106.19,106.31,414046
30-Sep-16,110.30,110.61,108.61,108.77,676003
29-Sep-16,112.15,112.15,109.44,109.79,451860
28-Sep-16,111.91,113.02,111.35,112.80,351229
27-Sep-16,114.38,114.67,112.37,112.54,254919
26-Sep-16,112.91,114.22,112.47,113.81,276284
23-Sep-16,112.33,113.74,111.69,113.39,316099
22-Sep-16,111.36,113.17,111.36,113.03,417692
21-Sep-16,108.38,110.55,107.53,110.36,426975
20-Sep-16,108.70,108.70,107.68,108.06,337408
19-Sep-16,106.67,108.08,106.22,108.00,349455
16-Sep-16,104.96,106.52,104.62,106.25,836372
15-Sep-16,105.09,105.88,104.59,105.67,288195
14-Sep-16,104.70,105.64,104.22,105.18,294320
13-Sep-16,108.42,108.42,103.79,104.43,537674
12-Sep-16,106.08,109.25,105.55,108.82,503657
9-Sep-16,112.25,112.83,105.94,106.31,867816
8-Sep-16,114.15,114.62,113.53,113.59,478467
7-Sep-16,112.43,114.52,112.39,114.52,366479
6-Sep-16,112.05,112.48,111.49,112.41,432075
2-Sep-16,110.54,112.35,110.54,111.85,646388
1-Sep-16,110.23,110.40,109.24,109.99,368309
31-Aug-16,110.19,110.40,109.82,110.09,746007
30-Aug-16,109.97,110.34,108.70,110.29,247332
29-Aug-16,108.93,110.05,108.93,109.74,213863
26-Aug-16,109.50,110.18,107.92,108.27,349672
25-Aug-16,109.26,110.14,108.99,109.24,297337
24-Aug-16,109.77,109.88,108.82,109.01,334662
23-Aug-16,109.99,110.50,109.47,109.68,461531
22-Aug-16,109.28,110.13,108.83,109.90,386906
19-Aug-16,110.02,110.02,108.87,109.28,253156
18-Aug-16,109.62,110.30,109.53,110.20,393231
17-Aug-16,109.98,110.18,109.15,109.54,480653
16-Aug-16,110.52,111.16,109.44,109.84,572857
15-Aug-16,112.68,113.20,110.34,110.75,637519
12-Aug-16,110.80,112.55,110.74,112.45,1353660
11-Aug-16,111.65,111.65,109.98,110.72,544208
10-Aug-16,112.80,113.28,110.47,111.12,749430
9-Aug-16,111.97,112.78,111.20,112.71,437989
8-Aug-16,111.30,112.99,111.00,112.14,555682
5-Aug-16,112.50,112.56,110.69,111.41,533962
4-Aug-16,111.24,112.44,110.64,112.38,503936
3-Aug-16,109.51,111.18,108.73,110.77,517472
2-Aug-16,112.10,112.92,107.54,109.48,781828
1-Aug-16,112.35,113.06,111.77,112.55,611383
29-Jul-16,111.16,112.97,110.97,112.30,844733
28-Jul-16,108.69,111.39,108.69,111.03,532933
27-Jul-16,108.92,110.00,108.36,108.80,902931
26-Jul-16,109.59,109.99,109.05,109.26,762916
25-Jul-16,108.99,109.43,108.48,109.29,692548
22-Jul-16,106.92,109.02,106.75,108.81,724040
21-Jul-16,105.56,107.30,105.56,107.19,522386
20-Jul-16,105.25,106.39,104.77,106.31,604644
19-Jul-16,104.53,105.11,102.64,104.92,448660
18-Jul-16,103.75,104.65,103.09,104.53,511135
15-Jul-16,103.37,103.87,101.31,103.67,386951
14-Jul-16,103.83,104.80,103.32,103.76,389567
13-Jul-16,103.56,104.44,101.47,104.42,680548
12-Jul-16,103.80,103.91,102.60,103.09,743174
11-Jul-16,103.13,103.89,102.18,103.73,466807
8-Jul-16,101.82,103.13,101.53,102.79,935402
7-Jul-16,101.30,102.00,100.53,101.27,3589068
6-Jul-16,104.57,105.40,104.30,105.33,364904
5-Jul-16,104.18,105.03,103.68,105.03,315207
1-Jul-16,103.82,104.75,103.61,104.24,430306
30-Jun-16,101.73,103.60,101.32,103.52,497400
29-Jun-16,100.32,101.84,100.32,101.79,369120
28-Jun-16,98.74,99.88,98.31,99.86,374245
27-Jun-16,98.92,99.35,97.60,99.13,522140
24-Jun-16,97.43,100.03,96.63,99.36,649109
23-Jun-16,98.94,99.52,98.74,99.24,385771
22-Jun-16,98.17,98.61,97.53,98.46,318228
21-Jun-16,97.95,98.74,97.61,97.92,510110
20-Jun-16,98.90,99.52,97.79,97.92,358597
17-Jun-16,98.30,99.01,97.68,98.11,687757
16-Jun-16,98.12,98.77,97.46,98.61,344011
15-Jun-16,98.04,98.97,97.43,98.46,418898
14-Jun-16,98.35,98.74,97.80,97.89,377684
13-Jun-16,98.77,99.66,98.22,98.52,551234
10-Jun-16,97.62,99.15,97.04,98.60,672177
9-Jun-16,97.00,98.29,96.51,98.16,574143
8-Jun-16,96.47,97.35,96.13,97.09,429970
7-Jun-16,96.90,97.40,96.37,96.54,461927
6-Jun-16,97.92,98.44,96.04,96.51,532355
3-Jun-16,97.46,98.96,97.29,97.66,489934
2-Jun-16,96.48,97.33,95.87,97.29,446645
1-Jun-16,96.32,96.91,95.28,96.47,501656
31-May-16,96.56,97.17,94.98,96.90,3620729
27-May-16,96.54,97.40,96.42,96.58,764068
26-May-16,98.26,98.26,96.46,96.47,846328
25-May-16,98.04,98.39,97.24,98.26,500994
24-May-16,96.42,98.38,95.42,98.00,2218609
23-May-16,95.93,96.05,95.10,95.72,554189
20-May-16,93.94,95.68,93.38,95.63,617069
19-May-16,93.40,93.78,92.47,93.53,379760
18-May-16,94.76,95.78,93.29,94.29,1985221
17-May-16,95.88,96.51,93.98,94.84,580732
16-May-16,94.78,96.88,94.71,96.31,619068
13-May-16,93.70,95.33,93.30,94.85,940451
12-May-16,94.13,94.41,93.28,93.72,476909
11-May-16,96.00,96.00,93.57,93.98,592491
10-May-16,96.55,96.69,95.57,96.03,662076
9-May-16,95.99,96.73,95.36,96.46,560790
6-May-16,95.40,95.72,93.74,95.65,470721
5-May-16,95.19,95.66,94.61,95.61,513693
4-May-16,92.65,95.52,92.65,95.40,620796
3-May-16,93.05,93.91,92.47,93.69,572808
2-May-16,92.73,94.98,92.41,94.16,973532
29-Apr-16,93.28,93.83,92.37,92.95,1171720
28-Apr-16,93.15,94.10,92.85,93.84,294675
27-Apr-16,93.63,94.10,92.48,93.73,324685
26-Apr-16,93.40,94.18,93.01,93.48,340596
25-Apr-16,92.41,93.41,91.95,93.21,484940
22-Apr-16,91.35,93.23,90.82,92.70,654942
21-Apr-16,92.11,93.33,90.34,91.09,523110
20-Apr-16,93.77,93.77,91.84,92.01,413477
19-Apr-16,93.92,94.49,93.32,93.81,230026
18-Apr-16,93.85,94.20,93.38,93.79,234952
15-Apr-16,92.48,94.00,92.33,93.86,450504
14-Apr-16,92.13,92.59,91.18,92.41,300318
13-Apr-16,92.76,92.76,91.44,92.05,440142
12-Apr-16,91.13,92.88,91.04,92.53,479333
11-Apr-16,91.12,91.75,90.78,90.79,200766
