Date,Open,High,Low,Close,Volume
31-Mar-17,7.97,8.29,7.91,8.04,986
30-Mar-17,7.88,8.23,7.88,8.06,4077
29-Mar-17,8.09,8.12,7.51,7.52,3915
28-Mar-17,-,-,-,7.90,0
27-Mar-17,7.79,8.06,7.79,7.90,1031
24-Mar-17,7.72,7.90,7.72,7.82,1641
23-Mar-17,7.38,7.47,7.38,7.46,361
22-Mar-17,7.54,7.54,7.54,7.54,878
21-Mar-17,7.66,7.66,7.66,7.66,134
20-Mar-17,7.52,8.55,7.37,7.52,7816
17-Mar-17,7.25,8.00,7.13,7.79,10835
16-Mar-17,7.35,7.45,7.10,7.42,6006
15-Mar-17,6.80,7.34,6.80,7.07,4900
14-Mar-17,6.40,6.53,6.40,6.52,4275
13-Mar-17,6.68,6.82,6.30,6.40,7368
10-Mar-17,7.00,7.12,6.67,6.67,3740
9-Mar-17,7.00,7.26,7.00,7.00,4992
8-Mar-17,7.00,7.25,7.00,7.01,2745
7-Mar-17,7.00,7.23,6.81,7.00,2066
6-Mar-17,8.16,8.16,6.95,7.03,4047
3-Mar-17,7.90,8.32,7.66,8.08,996
2-Mar-17,7.75,7.90,7.69,7.90,1850
1-Mar-17,7.30,7.88,7.06,7.76,6379
28-Feb-17,7.27,7.50,6.96,7.50,5806
27-Feb-17,7.31,7.33,6.99,7.30,4647
24-Feb-17,8.56,8.66,6.26,7.23,33677
23-Feb-17,8.49,8.91,8.49,8.65,1110
22-Feb-17,9.05,9.10,8.90,8.90,2063
21-Feb-17,9.05,9.25,9.05,9.25,1412
17-Feb-17,9.45,9.45,9.10,9.11,4178
16-Feb-17,9.37,9.45,9.13,9.45,3186
15-Feb-17,9.20,9.38,9.03,9.04,4947
14-Feb-17,9.47,9.47,8.73,8.73,7514
13-Feb-17,9.66,9.85,9.52,9.57,12280
10-Feb-17,8.20,9.17,8.20,8.77,6971
9-Feb-17,8.35,8.50,8.20,8.20,6153
8-Feb-17,7.05,8.45,7.05,8.15,10553
7-Feb-17,7.02,7.13,7.02,7.08,1713
6-Feb-17,6.71,6.90,6.52,6.90,1576
3-Feb-17,6.79,6.84,6.79,6.84,928
2-Feb-17,6.92,6.92,6.87,6.89,771
1-Feb-17,6.72,6.84,6.72,6.84,1081
31-Jan-17,6.37,6.83,6.37,6.78,7906
30-Jan-17,6.21,6.50,6.21,6.50,4484
27-Jan-17,6.20,6.20,6.20,6.20,315
26-Jan-17,6.23,6.23,6.23,6.23,350
25-Jan-17,6.22,6.41,6.22,6.25,4911
24-Jan-17,6.25,6.41,6.22,6.22,2892
23-Jan-17,6.17,6.17,6.17,6.17,142
20-Jan-17,6.18,6.28,6.18,6.18,1615
19-Jan-17,6.20,6.33,6.20,6.26,1278
18-Jan-17,5.93,6.26,5.93,6.14,2288
17-Jan-17,5.70,5.79,5.70,5.79,248
13-Jan-17,5.83,5.83,5.57,5.57,682
12-Jan-17,5.70,5.75,5.60,5.75,505
11-Jan-17,5.75,5.75,5.75,5.75,165
10-Jan-17,5.55,5.95,5.55,5.84,4326
9-Jan-17,5.50,5.56,5.50,5.56,1061
6-Jan-17,5.51,5.51,5.51,5.51,150
5-Jan-17,5.25,5.41,5.25,5.41,2283
4-Jan-17,5.25,5.25,5.22,5.22,1410
3-Jan-17,5.17,5.25,5.17,5.18,17926
30-Dec-16,5.17,5.17,5.02,5.17,2097
29-Dec-16,5.16,5.25,5.16,5.18,3259
28-Dec-16,5.13,5.24,5.13,5.24,2332
27-Dec-16,5.17,5.17,5.17,5.17,185
23-Dec-16,5.13,5.15,5.13,5.15,1830
22-Dec-16,5.24,5.24,5.19,5.21,4677
21-Dec-16,5.15,5.30,5.05,5.26,13263
20-Dec-16,5.02,5.24,4.92,5.23,17291
19-Dec-16,5.29,5.29,4.98,5.07,5787
16-Dec-16,5.60,5.60,5.21,5.29,15374
15-Dec-16,5.76,5.81,5.60,5.65,6932
14-Dec-16,5.70,5.92,5.64,5.77,2523
13-Dec-16,6.04,6.04,5.75,5.82,1532
12-Dec-16,5.94,6.07,5.92,6.07,1074
9-Dec-16,6.00,6.01,6.00,6.01,1366
8-Dec-16,5.88,6.10,5.88,5.93,5938
7-Dec-16,5.90,6.03,5.70,5.87,4574
6-Dec-16,5.98,6.05,5.68,5.98,8080
5-Dec-16,5.76,5.98,5.73,5.95,2504
2-Dec-16,5.91,5.91,5.87,5.90,1904
1-Dec-16,6.35,6.35,5.90,5.90,2976
30-Nov-16,6.10,6.45,6.10,6.45,400
