Date,Open,High,Low,Close,Volume
31-Mar-17,182.54,184.75,182.50,183.60,659407
30-Mar-17,182.99,183.72,181.17,183.32,424319
29-Mar-17,183.17,184.57,182.42,183.48,708204
28-Mar-17,184.87,185.67,182.87,185.06,586214
27-Mar-17,186.08,187.05,184.56,184.86,471605
24-Mar-17,187.32,188.00,186.19,186.62,524812
23-Mar-17,185.86,187.90,185.76,186.75,957021
22-Mar-17,186.55,186.55,184.49,186.14,530078
21-Mar-17,185.18,186.88,184.25,185.57,803824
20-Mar-17,185.95,186.58,184.26,184.84,714086
17-Mar-17,185.71,186.88,184.76,185.86,1673261
16-Mar-17,183.04,186.26,182.65,184.90,1009067
15-Mar-17,179.11,184.18,179.11,183.57,1018443
14-Mar-17,178.41,179.31,177.08,178.64,585733
13-Mar-17,177.70,179.27,177.31,178.01,833645
10-Mar-17,179.53,181.51,176.15,177.77,576684
9-Mar-17,181.76,182.40,178.18,178.66,698670
8-Mar-17,183.49,184.24,181.34,181.53,806752
7-Mar-17,182.91,183.28,181.66,183.05,427954
6-Mar-17,180.24,183.30,180.14,182.83,719473
3-Mar-17,182.00,182.30,179.44,181.17,420357
2-Mar-17,183.28,184.28,181.43,182.84,524005
1-Mar-17,183.33,184.88,181.80,183.31,594400
28-Feb-17,183.72,184.43,182.84,183.78,794304
27-Feb-17,183.56,184.14,182.76,183.49,362058
24-Feb-17,183.00,183.33,181.24,183.06,515939
23-Feb-17,181.67,183.13,180.95,182.75,675466
22-Feb-17,181.30,181.84,178.68,180.71,497906
21-Feb-17,178.03,181.68,177.90,181.10,609909
17-Feb-17,179.27,179.91,177.17,178.54,498560
16-Feb-17,178.28,179.25,177.30,179.07,569742
15-Feb-17,177.32,178.61,175.76,177.83,637042
14-Feb-17,177.94,178.61,175.71,178.46,536051
13-Feb-17,180.41,180.41,176.79,178.55,884272
10-Feb-17,177.22,180.27,177.15,179.87,592163
9-Feb-17,178.50,179.11,177.85,178.25,634856
8-Feb-17,175.71,179.33,174.96,178.50,928130
7-Feb-17,174.60,176.52,174.29,175.72,698008
6-Feb-17,173.69,175.53,172.68,174.82,644952
3-Feb-17,176.69,179.00,172.92,173.53,908078
2-Feb-17,171.34,176.85,171.09,175.54,1514730
1-Feb-17,172.21,173.59,169.50,169.61,1181191
31-Jan-17,172.50,174.41,172.15,173.31,962996
30-Jan-17,173.03,173.87,171.53,172.11,692645
27-Jan-17,174.52,174.72,172.12,173.12,577899
26-Jan-17,173.72,175.05,173.17,174.21,671022
25-Jan-17,174.76,175.71,173.31,173.43,957597
24-Jan-17,177.31,177.99,174.51,175.56,746878
23-Jan-17,176.58,177.50,175.76,176.90,519126
20-Jan-17,175.38,177.37,174.83,176.97,563977
19-Jan-17,175.83,175.83,173.92,175.22,594401
18-Jan-17,176.66,177.76,175.47,176.57,609914
17-Jan-17,176.22,178.15,174.85,176.31,807993
13-Jan-17,176.34,176.93,175.47,176.26,471424
12-Jan-17,174.90,177.02,173.64,176.59,679784
11-Jan-17,176.59,177.88,174.26,175.17,1118275
10-Jan-17,176.59,177.70,175.64,176.82,602868
9-Jan-17,179.83,180.03,176.87,177.22,637013
6-Jan-17,178.10,180.69,178.10,180.00,732769
5-Jan-17,175.89,178.63,174.84,178.43,840613
4-Jan-17,177.08,178.39,175.58,177.35,759715
3-Jan-17,178.30,178.30,175.26,176.62,858164
30-Dec-16,175.26,177.77,174.89,177.15,756286
29-Dec-16,173.90,176.17,173.33,175.60,601944
28-Dec-16,174.81,175.34,172.22,173.94,751827
27-Dec-16,174.27,176.90,173.81,175.82,648013
23-Dec-16,174.37,175.30,173.43,174.49,367973
22-Dec-16,172.36,174.07,171.30,173.72,686082
21-Dec-16,175.00,176.57,172.93,172.93,883935
20-Dec-16,173.94,175.73,173.58,175.23,687642
19-Dec-16,174.16,175.08,172.67,174.79,925149
16-Dec-16,171.08,174.53,170.77,172.93,1119660
15-Dec-16,169.99,172.32,168.47,169.60,1002558
14-Dec-16,170.55,172.92,168.78,170.03,1353879
13-Dec-16,171.27,171.47,168.85,170.63,600678
12-Dec-16,169.12,170.98,168.30,170.40,593346
9-Dec-16,168.70,170.88,168.29,169.05,533775
8-Dec-16,167.45,169.39,165.40,168.77,709631
7-Dec-16,164.39,168.18,164.12,168.10,743849
6-Dec-16,164.73,166.37,163.58,164.20,875512
5-Dec-16,164.61,165.57,163.27,164.62,888208
2-Dec-16,164.40,167.48,163.46,164.63,752436
1-Dec-16,163.44,164.90,161.59,163.50,1105637
30-Nov-16,163.38,165.83,162.49,164.49,1064674
29-Nov-16,163.98,165.81,163.65,164.76,747363
28-Nov-16,161.65,164.72,161.61,163.42,808805
25-Nov-16,159.96,161.50,159.96,160.90,425551
23-Nov-16,160.76,160.87,158.32,160.44,1065014
22-Nov-16,160.58,163.75,159.28,162.40,1446129
21-Nov-16,162.55,164.08,159.68,159.75,1144459
18-Nov-16,163.92,164.88,161.29,162.32,918915
17-Nov-16,166.68,168.56,163.34,164.09,655892
16-Nov-16,165.37,168.08,164.57,166.69,692151
15-Nov-16,171.53,171.72,164.71,165.13,1464246
14-Nov-16,167.00,173.18,164.20,171.20,1058430
11-Nov-16,166.60,170.24,166.53,167.66,1192438
10-Nov-16,168.39,169.23,163.18,166.53,1272837
