Stock,Date,Open,High,Low,Close,Volume
baba,4-Apr-16,78.33,79.55,78.32,79.08,9795186
baba,5-Apr-16,78.20,78.30,76.91,77.32,9576060
baba,6-Apr-16,77.30,79.15,77.19,78.68,9054279
baba,7-Apr-16,77.60,78.60,77.18,77.61,10933504
baba,8-Apr-16,78.27,78.76,76.62,77.47,8387713
baba,11-Apr-16,78.07,78.59,77.43,77.71,7883830
baba,12-Apr-16,78.00,78.24,76.87,77.86,7109400
baba,13-Apr-16,78.74,79.72,78.50,79.64,14072654
baba,14-Apr-16,79.31,79.86,78.36,79.61,12579459
baba,15-Apr-16,79.45,79.75,78.46,78.97,11684572
baba,18-Apr-16,78.52,79.12,77.71,79.01,7753931
baba,19-Apr-16,79.20,80.48,78.47,79.46,14720399
baba,20-Apr-16,79.00,81.74,78.99,81.21,14883474
baba,21-Apr-16,81.08,81.78,80.20,80.78,8801471
baba,22-Apr-16,80.12,81.44,79.16,79.89,8583784
baba,25-Apr-16,79.80,79.84,78.68,78.84,9176328
baba,26-Apr-16,78.85,79.56,77.80,78.61,9561267
baba,27-Apr-16,78.30,78.62,76.57,77.65,11441320
baba,28-Apr-16,77.65,77.90,76.09,76.40,9897684
baba,29-Apr-16,76.81,77.28,75.66,76.94,9985760
baba,2-May-16,76.89,77.00,75.94,76.61,7701672
baba,3-May-16,75.96,76.27,75.42,75.91,7985643
baba,4-May-16,75.64,75.91,75.01,75.82,14260002
baba,5-May-16,79.52,79.94,78.10,78.83,27890851
baba,6-May-16,78.35,79.72,78.25,79.20,12618505
baba,9-May-16,78.94,79.98,78.89,79.41,11774316
baba,10-May-16,79.79,79.98,79.15,79.72,9295506
baba,11-May-16,79.43,80.48,79.41,79.80,10967620
baba,12-May-16,80.01,80.45,78.32,79.16,8764926
baba,13-May-16,78.82,79.16,76.97,77.16,10045937
baba,16-May-16,77.86,79.93,77.59,79.29,11629584
baba,17-May-16,79.83,80.20,79.31,79.35,10957569
baba,18-May-16,78.71,80.00,78.47,79.03,9055306
baba,19-May-16,78.65,79.26,77.60,78.32,8303038
baba,20-May-16,79.07,79.45,78.35,78.79,10982573
baba,23-May-16,78.95,79.50,78.60,79.00,7156483
baba,24-May-16,79.17,81.31,79.07,81.12,16660273
baba,25-May-16,78.53,79.20,74.12,75.59,49558730
baba,26-May-16,76.99,78.86,76.80,78.35,26916442
baba,27-May-16,78.49,81.00,78.39,80.97,24529547
baba,31-May-16,81.00,82.03,80.20,82.00,78861383
baba,1-Jun-16,79.15,80.14,76.55,76.69,62531511
baba,2-Jun-16,76.65,77.75,76.56,77.30,45379470
baba,3-Jun-16,77.24,77.80,75.71,76.62,23685736
baba,6-Jun-16,77.11,78.33,76.70,78.06,19166096
baba,7-Jun-16,78.19,78.37,77.32,77.84,12877981
baba,8-Jun-16,78.00,78.53,77.38,77.64,11614055
baba,9-Jun-16,77.39,78.07,76.78,77.56,8994449
baba,10-Jun-16,76.43,77.05,75.76,75.92,10421059
baba,13-Jun-16,75.25,76.46,74.85,75.45,11300757
baba,14-Jun-16,76.89,78.45,76.75,77.77,22358857
baba,15-Jun-16,78.31,78.77,77.51,78.39,14734824
baba,16-Jun-16,77.84,78.40,76.20,78.27,13570656
baba,17-Jun-16,78.45,78.45,76.48,77.00,15582575
baba,20-Jun-16,77.90,78.79,77.84,78.15,9625641
baba,21-Jun-16,78.75,79.08,78.40,78.62,8881825
baba,22-Jun-16,79.04,79.12,78.21,78.73,8170856
baba,23-Jun-16,79.16,79.46,78.55,79.14,8279464
baba,24-Jun-16,76.83,77.50,75.43,76.29,18224791
baba,27-Jun-16,75.80,76.29,73.30,74.23,15251773
baba,28-Jun-16,75.50,76.60,75.50,76.28,11266195
baba,29-Jun-16,76.98,78.48,76.90,78.04,11459983
baba,30-Jun-16,78.31,79.76,78.28,79.53,12485338
baba,1-Jul-16,79.12,80.05,79.12,79.65,7271279
baba,5-Jul-16,79.04,79.55,78.37,78.97,6845232
baba,6-Jul-16,78.47,78.82,77.68,78.64,7737637
baba,7-Jul-16,79.00,79.49,78.71,79.35,6819170
baba,8-Jul-16,78.44,79.35,77.80,78.99,14029075
baba,11-Jul-16,79.33,81.90,79.24,81.46,17417457
baba,12-Jul-16,81.79,82.88,81.51,81.74,15294115
baba,13-Jul-16,81.83,81.88,80.37,80.57,10739182
baba,14-Jul-16,81.18,82.24,80.86,81.74,9361454
baba,15-Jul-16,81.78,82.49,80.96,81.25,8919868
baba,18-Jul-16,80.60,82.79,80.60,82.65,12113575
baba,19-Jul-16,82.48,83.69,82.05,82.77,9799375
baba,20-Jul-16,83.27,84.70,83.23,84.42,13990957
baba,21-Jul-16,84.71,85.00,83.66,84.18,10192080
baba,22-Jul-16,84.00,84.50,83.81,84.49,5988370
baba,25-Jul-16,84.47,84.79,82.61,83.19,13185912
baba,26-Jul-16,82.86,83.63,82.63,83.59,7714661
baba,27-Jul-16,83.60,83.64,83.00,83.10,11628979
baba,28-Jul-16,83.46,83.49,82.12,83.12,7476531
baba,29-Jul-16,83.37,83.42,81.94,82.48,8709279
baba,1-Aug-16,82.79,84.80,82.59,84.34,13401193
baba,2-Aug-16,84.34,84.34,82.91,83.80,7691627
baba,3-Aug-16,83.30,83.84,83.17,83.67,5365813
baba,4-Aug-16,83.75,84.98,83.69,84.75,10731563
baba,5-Aug-16,85.01,85.08,84.44,84.59,9401657
baba,8-Aug-16,84.99,85.02,84.30,85.00,11528244
baba,9-Aug-16,85.05,85.63,84.80,85.24,15349237
baba,10-Aug-16,86.01,87.73,86.01,87.33,28195881
baba,11-Aug-16,92.14,92.80,91.26,91.77,54169169
baba,12-Aug-16,92.98,98.35,92.91,98.25,71968347
baba,15-Aug-16,98.28,98.86,96.82,97.17,33813431
baba,16-Aug-16,96.15,97.15,95.05,96.66,27513961
baba,17-Aug-16,96.17,97.25,96.05,97.00,14980944
baba,18-Aug-16,97.25,97.94,96.62,97.00,15009049
baba,19-Aug-16,96.91,97.24,96.34,96.86,14267089
baba,22-Aug-16,96.47,96.63,94.75,95.65,16222875
baba,23-Aug-16,95.59,96.48,95.41,95.79,9646830
baba,24-Aug-16,95.68,96.30,93.56,93.88,12726565
baba,25-Aug-16,93.75,94.69,93.12,93.94,13039874
baba,26-Aug-16,94.15,95.45,94.08,95.06,14133920
baba,29-Aug-16,94.60,95.16,94.21,94.88,8818346
baba,30-Aug-16,95.35,96.68,95.17,96.00,13994246
baba,31-Aug-16,96.14,97.20,96.01,97.19,28617010
baba,1-Sep-16,97.30,98.00,97.01,97.42,13387366
baba,2-Sep-16,97.97,99.66,97.97,99.25,17482617
baba,6-Sep-16,100.45,104.30,100.45,103.78,32803767
baba,7-Sep-16,103.84,104.00,102.26,102.32,15758762
baba,8-Sep-16,101.93,103.78,101.63,102.57,15475494
baba,9-Sep-16,101.80,102.21,99.05,99.62,21250414
baba,12-Sep-16,97.38,101.38,97.00,100.80,17318186
baba,13-Sep-16,100.38,101.49,98.84,100.28,20004920
baba,14-Sep-16,100.08,102.59,100.02,102.40,19604724
baba,15-Sep-16,102.62,104.48,102.53,104.45,20841027
baba,16-Sep-16,104.00,105.39,103.86,104.64,20363471
baba,19-Sep-16,105.16,105.50,102.20,103.03,15234574
baba,20-Sep-16,102.94,103.73,100.93,101.45,12863809
baba,21-Sep-16,102.46,106.19,102.21,106.00,22997062
baba,22-Sep-16,107.57,109.76,107.48,109.36,35627728
baba,23-Sep-16,108.25,108.40,106.71,107.71,23082976
baba,26-Sep-16,106.52,107.06,105.30,105.89,16805335
baba,27-Sep-16,106.52,108.49,106.37,108.26,17556710
baba,28-Sep-16,108.44,109.87,107.16,108.75,16371600
baba,29-Sep-16,106.51,106.69,104.57,105.55,30236671
baba,30-Sep-16,106.50,107.10,105.79,105.79,15577503
baba,3-Oct-16,105.45,106.29,104.98,105.38,10849473
baba,4-Oct-16,105.93,106.23,105.05,105.45,11068841
baba,5-Oct-16,105.87,107.45,105.66,106.96,13176546
baba,6-Oct-16,107.30,107.51,106.18,107.08,9885558
baba,7-Oct-16,106.89,107.55,105.56,106.00,8954371
baba,10-Oct-16,106.79,109.00,106.56,108.41,11516628
baba,11-Oct-16,107.89,107.97,104.75,105.23,14916564
baba,12-Oct-16,105.05,105.11,101.82,103.62,18434983
baba,13-Oct-16,102.06,102.55,99.00,102.15,22389979
baba,14-Oct-16,104.27,104.70,101.03,101.85,12789498
baba,17-Oct-16,101.50,103.47,101.27,102.84,10351713
baba,18-Oct-16,104.47,104.99,103.31,103.34,11107198
baba,19-Oct-16,104.33,104.80,103.65,103.93,8918931
baba,20-Oct-16,104.20,104.74,103.57,103.85,7109782
baba,21-Oct-16,103.70,103.94,102.75,103.94,8073095
baba,24-Oct-16,104.98,105.30,103.55,104.50,10898833
baba,25-Oct-16,104.86,105.20,104.02,104.22,8985668
baba,26-Oct-16,103.68,104.00,102.70,102.78,7579847
baba,27-Oct-16,103.38,104.11,101.85,102.38,8807090
baba,28-Oct-16,102.35,103.05,101.55,101.93,8479491
baba,31-Oct-16,102.65,103.21,101.42,101.69,15837901
baba,1-Nov-16,100.43,101.24,99.21,101.15,21287287
baba,2-Nov-16,103.85,104.10,97.30,98.51,37066972
baba,3-Nov-16,98.04,99.30,96.46,97.75,17412642
baba,4-Nov-16,96.90,98.79,96.67,97.57,9048524
baba,7-Nov-16,100.07,100.62,99.16,99.35,11198343
baba,8-Nov-16,99.39,99.99,98.36,99.85,8091111
baba,9-Nov-16,97.38,98.58,95.80,96.67,20948039
baba,10-Nov-16,98.34,98.50,92.22,94.34,27346656
baba,11-Nov-16,93.86,94.09,91.10,92.99,23725758
baba,14-Nov-16,92.45,92.54,87.88,89.77,27356192
baba,15-Nov-16,91.00,93.49,90.75,91.00,16722956
baba,16-Nov-16,91.39,93.68,91.33,92.86,14079662
baba,17-Nov-16,94.71,94.98,93.64,94.07,10372795
baba,18-Nov-16,94.85,95.30,92.67,93.39,10032576
baba,21-Nov-16,94.05,94.66,93.00,93.41,8960045
baba,22-Nov-16,94.24,94.42,93.16,93.21,10403624
baba,23-Nov-16,92.53,93.40,91.45,93.03,11743806
baba,25-Nov-16,93.55,93.75,92.77,93.01,4868511
baba,28-Nov-16,93.02,95.74,93.00,93.76,14340055
baba,29-Nov-16,93.67,96.06,93.39,94.99,14146870
baba,30-Nov-16,95.28,95.48,93.30,94.02,11447742
baba,1-Dec-16,94.00,94.06,89.18,89.86,24030681
baba,2-Dec-16,90.38,91.74,89.95,90.48,11718827
baba,5-Dec-16,90.05,91.40,89.57,90.99,8902646
baba,6-Dec-16,91.56,91.93,89.96,90.40,7787821
baba,7-Dec-16,90.52,91.65,89.50,91.07,13240009
baba,8-Dec-16,91.80,93.08,91.03,92.31,10919524
baba,9-Dec-16,92.51,93.64,92.28,93.28,9177566
baba,12-Dec-16,92.05,92.89,91.70,92.47,9355867
baba,13-Dec-16,92.80,93.73,91.87,92.16,10491316
baba,14-Dec-16,91.83,92.26,90.83,91.19,9153726
baba,15-Dec-16,90.00,90.60,88.74,88.85,19215542
baba,16-Dec-16,89.00,90.10,88.56,88.67,11341520
baba,19-Dec-16,88.61,89.82,88.41,88.93,10226275
baba,20-Dec-16,89.19,90.31,88.94,89.84,8434744
baba,21-Dec-16,89.96,90.43,89.25,89.25,9044867
baba,22-Dec-16,87.89,88.26,86.01,86.80,14404521
baba,23-Dec-16,86.62,87.68,86.62,86.79,6360165
baba,27-Dec-16,86.72,87.94,86.71,87.54,5228010
baba,28-Dec-16,88.30,88.75,87.22,87.37,6421078
baba,29-Dec-16,87.82,88.20,87.16,87.33,5467104
baba,30-Dec-16,87.57,88.10,87.20,87.81,7211060
baba,3-Jan-17,89.00,89.00,88.08,88.60,8789386
baba,4-Jan-17,88.98,90.89,88.58,90.51,11490165
baba,5-Jan-17,91.91,94.81,91.64,94.37,16821545
baba,6-Jan-17,94.40,94.50,93.00,93.89,7639786
baba,9-Jan-17,94.16,95.65,93.31,94.72,10829512
baba,10-Jan-17,96.40,97.90,95.55,96.75,14780567
baba,11-Jan-17,96.92,97.45,95.60,96.94,8735888
baba,12-Jan-17,96.85,96.85,94.80,95.90,8424702
baba,13-Jan-17,95.95,97.38,95.76,96.27,10701089
baba,17-Jan-17,96.32,96.59,95.00,96.12,6342427
baba,18-Jan-17,96.27,96.27,95.26,96.00,6610650
baba,19-Jan-17,96.42,96.70,95.58,96.17,7089962
baba,20-Jan-17,96.45,97.15,95.67,96.06,9685787
baba,23-Jan-17,96.48,98.67,96.26,98.41,14090338
baba,24-Jan-17,103.15,103.19,99.94,101.43,37181541
baba,25-Jan-17,102.46,104.27,101.90,104.06,23322771
baba,26-Jan-17,103.92,104.57,102.17,102.75,12504773
baba,27-Jan-17,102.25,102.70,101.29,102.07,8031012
baba,30-Jan-17,101.20,101.46,100.09,101.02,8619760
baba,31-Jan-17,100.24,102.09,100.06,101.31,7530026
baba,1-Feb-17,102.07,102.38,100.87,101.57,5736373
baba,2-Feb-17,101.28,101.47,100.56,100.84,5371631
baba,3-Feb-17,101.50,101.56,100.30,100.39,6197622
baba,6-Feb-17,100.17,101.71,100.02,100.90,6866702
baba,7-Feb-17,101.04,101.60,100.50,100.83,5655631
baba,8-Feb-17,101.55,103.99,101.16,103.57,10178465
baba,9-Feb-17,103.32,104.18,102.56,103.34,8435817
baba,10-Feb-17,103.88,103.94,102.31,102.36,7680312
baba,13-Feb-17,102.82,104.44,102.62,103.10,9728978
baba,14-Feb-17,103.14,103.60,100.90,101.59,10240705
baba,15-Feb-17,102.06,102.13,100.11,101.55,12384440
baba,16-Feb-17,101.86,102.10,100.50,100.82,7464034
baba,17-Feb-17,100.69,101.73,100.30,100.52,8258244
baba,21-Feb-17,101.03,102.54,100.91,102.12,8189639
baba,22-Feb-17,102.48,105.20,102.42,104.20,15779442
baba,23-Feb-17,104.72,104.86,101.82,102.46,10095637
baba,24-Feb-17,101.39,103.00,101.30,102.95,7356558
baba,27-Feb-17,102.50,103.82,102.22,103.60,6865880
baba,28-Feb-17,103.89,103.99,102.03,102.90,8017478
baba,1-Mar-17,103.68,104.99,103.21,104.04,10331843
baba,2-Mar-17,103.80,104.58,102.77,103.19,7983012
baba,3-Mar-17,102.99,103.42,102.44,103.31,6320936
baba,6-Mar-17,102.76,103.25,102.10,102.31,6290674
baba,7-Mar-17,102.30,103.31,102.11,102.63,4985200
baba,8-Mar-17,102.63,104.29,102.54,103.22,7066707
baba,9-Mar-17,102.97,103.75,102.76,103.24,4523635
baba,10-Mar-17,103.43,103.70,102.63,103.39,4120725
baba,13-Mar-17,103.52,106.25,103.47,105.18,16118945
baba,14-Mar-17,104.61,106.00,103.82,104.25,7748369
baba,15-Mar-17,104.37,104.49,102.60,103.69,11695195
baba,16-Mar-17,105.25,105.65,104.30,105.63,12445226
baba,17-Mar-17,105.17,106.50,104.86,105.61,8778885
baba,20-Mar-17,106.23,108.20,105.94,107.25,12447932
baba,21-Mar-17,108.46,108.70,104.70,105.09,13877719
baba,22-Mar-17,104.64,106.12,103.98,106.09,7153035
baba,23-Mar-17,106.95,108.83,106.44,108.25,13410771
baba,24-Mar-17,108.40,109.13,107.23,108.04,7578379
baba,27-Mar-17,106.65,108.19,106.51,108.08,7709376
baba,28-Mar-17,108.23,108.95,107.46,107.80,6472004
baba,29-Mar-17,107.97,109.74,107.69,109.51,8788720
baba,30-Mar-17,109.73,110.45,108.66,108.85,10592470
baba,31-Mar-17,108.50,109.12,107.78,107.83,9002786
ccl,4-Apr-16,52.80,53.20,52.52,53.03,3586391
ccl,5-Apr-16,52.19,52.31,51.32,51.50,5511451
ccl,6-Apr-16,51.92,52.07,51.42,51.99,3961291
ccl,7-Apr-16,51.84,51.84,50.96,51.18,2968537
ccl,8-Apr-16,51.71,51.71,51.02,51.14,2961120
ccl,11-Apr-16,51.46,51.67,50.76,50.80,3973691
ccl,12-Apr-16,51.28,51.39,50.82,51.23,3538649
ccl,13-Apr-16,51.52,51.79,51.17,51.68,4515475
ccl,14-Apr-16,51.66,51.98,51.04,51.57,2772597
ccl,15-Apr-16,51.53,51.74,50.92,51.02,4735243
ccl,18-Apr-16,51.86,51.97,50.20,50.84,5266777
ccl,19-Apr-16,51.08,51.24,50.52,50.60,3249290
ccl,20-Apr-16,50.61,50.75,49.91,50.04,3741920
ccl,21-Apr-16,49.69,50.04,49.06,49.18,5332688
