Date,Open,High,Low,Close,Volume
31-Mar-17,108.50,109.12,107.78,107.83,9002786
30-Mar-17,109.73,110.45,108.66,108.85,10592470
29-Mar-17,107.97,109.74,107.69,109.51,8788720
28-Mar-17,108.23,108.95,107.46,107.80,6472004
27-Mar-17,106.65,108.19,106.51,108.08,7709376
24-Mar-17,108.40,109.13,107.23,108.04,7578379
23-Mar-17,106.95,108.83,106.44,108.25,13410771
22-Mar-17,104.64,106.12,103.98,106.09,7153035
21-Mar-17,108.46,108.70,104.70,105.09,13877719
20-Mar-17,106.23,108.20,105.94,107.25,12447932
17-Mar-17,105.17,106.50,104.86,105.61,8778885
16-Mar-17,105.25,105.65,104.30,105.63,12445226
15-Mar-17,104.37,104.49,102.60,103.69,11695195
14-Mar-17,104.61,106.00,103.82,104.25,7748369
13-Mar-17,103.52,106.25,103.47,105.18,16118945
10-Mar-17,103.43,103.70,102.63,103.39,4120725
9-Mar-17,102.97,103.75,102.76,103.24,4523635
8-Mar-17,102.63,104.29,102.54,103.22,7066707
7-Mar-17,102.30,103.31,102.11,102.63,4985200
6-Mar-17,102.76,103.25,102.10,102.31,6290674
3-Mar-17,102.99,103.42,102.44,103.31,6320936
2-Mar-17,103.80,104.58,102.77,103.19,7983012
1-Mar-17,103.68,104.99,103.21,104.04,10331843
28-Feb-17,103.89,103.99,102.03,102.90,8017478
27-Feb-17,102.50,103.82,102.22,103.60,6865880
24-Feb-17,101.39,103.00,101.30,102.95,7356558
23-Feb-17,104.72,104.86,101.82,102.46,10095637
22-Feb-17,102.48,105.20,102.42,104.20,15779442
21-Feb-17,101.03,102.54,100.91,102.12,8189639
17-Feb-17,100.69,101.73,100.30,100.52,8258244
16-Feb-17,101.86,102.10,100.50,100.82,7464034
15-Feb-17,102.06,102.13,100.11,101.55,12384440
14-Feb-17,103.14,103.60,100.90,101.59,10240705
13-Feb-17,102.82,104.44,102.62,103.10,9728978
10-Feb-17,103.88,103.94,102.31,102.36,7680312
9-Feb-17,103.32,104.18,102.56,103.34,8435817
8-Feb-17,101.55,103.99,101.16,103.57,10178465
7-Feb-17,101.04,101.60,100.50,100.83,5655631
6-Feb-17,100.17,101.71,100.02,100.90,6866702
3-Feb-17,101.50,101.56,100.30,100.39,6197622
2-Feb-17,101.28,101.47,100.56,100.84,5371631
1-Feb-17,102.07,102.38,100.87,101.57,5736373
31-Jan-17,100.24,102.09,100.06,101.31,7530026
30-Jan-17,101.20,101.46,100.09,101.02,8619760
27-Jan-17,102.25,102.70,101.29,102.07,8031012
26-Jan-17,103.92,104.57,102.17,102.75,12504773
25-Jan-17,102.46,104.27,101.90,104.06,23322771
24-Jan-17,103.15,103.19,99.94,101.43,37181541
23-Jan-17,96.48,98.67,96.26,98.41,14090338
20-Jan-17,96.45,97.15,95.67,96.06,9685787
19-Jan-17,96.42,96.70,95.58,96.17,7089962
18-Jan-17,96.27,96.27,95.26,96.00,6610650
17-Jan-17,96.32,96.59,95.00,96.12,6342427
13-Jan-17,95.95,97.38,95.76,96.27,10701089
12-Jan-17,96.85,96.85,94.80,95.90,8424702
11-Jan-17,96.92,97.45,95.60,96.94,8735888
10-Jan-17,96.40,97.90,95.55,96.75,14780567
9-Jan-17,94.16,95.65,93.31,94.72,10829512
6-Jan-17,94.40,94.50,93.00,93.89,7639786
5-Jan-17,91.91,94.81,91.64,94.37,16821545
4-Jan-17,88.98,90.89,88.58,90.51,11490165
3-Jan-17,89.00,89.00,88.08,88.60,8789386
30-Dec-16,87.57,88.10,87.20,87.81,7211060
29-Dec-16,87.82,88.20,87.16,87.33,5467104
28-Dec-16,88.30,88.75,87.22,87.37,6421078
27-Dec-16,86.72,87.94,86.71,87.54,5228010
23-Dec-16,86.62,87.68,86.62,86.79,6360165
22-Dec-16,87.89,88.26,86.01,86.80,14404521
21-Dec-16,89.96,90.43,89.25,89.25,9044867
20-Dec-16,89.19,90.31,88.94,89.84,8434744
19-Dec-16,88.61,89.82,88.41,88.93,10226275
16-Dec-16,89.00,90.10,88.56,88.67,11341520
15-Dec-16,90.00,90.60,88.74,88.85,19215542
14-Dec-16,91.83,92.26,90.83,91.19,9153726
13-Dec-16,92.80,93.73,91.87,92.16,10491316
12-Dec-16,92.05,92.89,91.70,92.47,9355867
9-Dec-16,92.51,93.64,92.28,93.28,9177566
8-Dec-16,91.80,93.08,91.03,92.31,10919524
7-Dec-16,90.52,91.65,89.50,91.07,13240009
6-Dec-16,91.56,91.93,89.96,90.40,7787821
5-Dec-16,90.05,91.40,89.57,90.99,8902646
2-Dec-16,90.38,91.74,89.95,90.48,11718827
1-Dec-16,94.00,94.06,89.18,89.86,24030681
30-Nov-16,95.28,95.48,93.30,94.02,11447742
29-Nov-16,93.67,96.06,93.39,94.99,14146870
28-Nov-16,93.02,95.74,93.00,93.76,14340055
25-Nov-16,93.55,93.75,92.77,93.01,4868511
23-Nov-16,92.53,93.40,91.45,93.03,11743806
22-Nov-16,94.24,94.42,93.16,93.21,10403624
21-Nov-16,94.05,94.66,93.00,93.41,8960045
18-Nov-16,94.85,95.30,92.67,93.39,10032576
17-Nov-16,94.71,94.98,93.64,94.07,10372795
16-Nov-16,91.39,93.68,91.33,92.86,14079662
15-Nov-16,91.00,93.49,90.75,91.00,16722956
14-Nov-16,92.45,92.54,87.88,89.77,27356192
11-Nov-16,93.86,94.09,91.10,92.99,23725758
10-Nov-16,98.34,98.50,92.22,94.34,27346656
9-Nov-16,97.38,98.58,95.80,96.67,20948039
8-Nov-16,99.39,99.99,98.36,99.85,8091111
7-Nov-16,100.07,100.62,99.16,99.35,11198343
4-Nov-16,96.90,98.79,96.67,97.57,9048524
3-Nov-16,98.04,99.30,96.46,97.75,17412642
2-Nov-16,103.85,104.10,97.30,98.51,37066972
1-Nov-16,100.43,101.24,99.21,101.15,21287287
31-Oct-16,102.65,103.21,101.42,101.69,15837901
28-Oct-16,102.35,103.05,101.55,101.93,8479491
27-Oct-16,103.38,104.11,101.85,102.38,8807090
26-Oct-16,103.68,104.00,102.70,102.78,7579847
25-Oct-16,104.86,105.20,104.02,104.22,8985668
24-Oct-16,104.98,105.30,103.55,104.50,10898833
21-Oct-16,103.70,103.94,102.75,103.94,8073095
20-Oct-16,104.20,104.74,103.57,103.85,7109782
19-Oct-16,104.33,104.80,103.65,103.93,8918931
