Date,Open,High,Low,Close,Volume
31-Mar-17,59.17,59.27,58.86,58.91,3435229
30-Mar-17,59.37,59.40,59.05,59.29,4780667
29-Mar-17,59.09,59.37,58.54,58.96,4112245
28-Mar-17,59.88,60.24,59.00,59.26,7319787
27-Mar-17,58.47,58.94,58.06,58.87,4375976
24-Mar-17,58.82,59.12,58.39,58.60,4531752
23-Mar-17,58.47,58.95,58.43,58.52,3638884
22-Mar-17,57.58,58.44,57.09,58.29,5536709
21-Mar-17,58.37,58.76,57.69,57.79,4017256
20-Mar-17,57.76,57.85,57.55,57.76,1937734
17-Mar-17,57.75,57.96,57.58,57.64,3796630
16-Mar-17,57.27,57.59,57.18,57.54,2170733
15-Mar-17,57.05,57.54,56.90,57.37,2389165
14-Mar-17,57.06,57.30,56.73,56.99,2322380
13-Mar-17,57.36,57.42,57.06,57.11,2362650
10-Mar-17,56.64,57.46,56.61,57.21,3720515
9-Mar-17,55.78,56.25,55.69,56.20,2492952
8-Mar-17,55.78,55.88,55.49,55.53,2345141
7-Mar-17,55.65,55.76,55.33,55.53,2172016
6-Mar-17,55.60,55.87,55.07,55.74,2754501
3-Mar-17,56.26,56.31,55.52,55.72,3252961
2-Mar-17,56.54,56.67,56.09,56.57,1852711
1-Mar-17,56.51,56.72,56.18,56.50,2682810
28-Feb-17,56.22,56.41,55.93,55.95,2542491
27-Feb-17,56.11,56.13,55.71,56.05,3478132
24-Feb-17,55.89,56.12,55.59,56.03,3586664
23-Feb-17,56.62,56.88,55.85,55.92,4377147
22-Feb-17,55.37,55.72,54.75,55.50,3625237
21-Feb-17,55.53,56.07,55.23,55.89,2780345
17-Feb-17,55.76,55.80,55.21,55.40,3954074
16-Feb-17,56.34,56.46,55.70,56.03,2674492
15-Feb-17,56.03,56.53,55.61,56.48,3190217
14-Feb-17,56.53,56.64,56.28,56.37,2755528
13-Feb-17,56.63,56.93,56.43,56.46,2688057
10-Feb-17,56.02,56.33,55.88,56.25,2610317
9-Feb-17,55.47,56.48,55.45,56.31,3283833
8-Feb-17,55.70,55.78,55.35,55.59,1723996
7-Feb-17,55.56,55.64,55.19,55.45,1550046
6-Feb-17,55.08,55.58,55.02,55.50,1466935
3-Feb-17,55.42,55.72,55.21,55.28,1573611
2-Feb-17,55.45,55.46,55.08,55.31,1514367
1-Feb-17,55.27,55.70,55.02,55.47,1952068
31-Jan-17,55.64,55.64,54.75,55.38,2966081
30-Jan-17,56.00,56.14,55.52,55.64,3278992
27-Jan-17,56.94,56.98,56.11,56.29,2927752
26-Jan-17,56.81,57.79,56.45,56.93,5702299
25-Jan-17,54.70,55.88,54.65,55.83,5113236
24-Jan-17,53.72,54.70,53.66,54.53,2532776
23-Jan-17,53.33,53.82,53.03,53.77,2381144
20-Jan-17,53.53,53.95,53.02,53.30,2666166
19-Jan-17,53.60,54.14,53.42,53.45,2163300
18-Jan-17,52.79,53.73,52.65,53.60,3185992
17-Jan-17,53.48,53.48,52.74,53.09,2738192
13-Jan-17,53.47,53.75,53.19,53.46,1940302
12-Jan-17,54.22,54.30,53.25,53.64,3121418
11-Jan-17,54.29,54.69,54.07,54.56,3234721
10-Jan-17,53.90,54.87,53.78,54.25,4197139
9-Jan-17,53.37,53.95,53.35,53.69,2413767
6-Jan-17,53.59,54.06,53.14,53.65,3669575
5-Jan-17,53.05,53.99,52.82,53.71,4022336
4-Jan-17,52.45,52.92,52.24,52.82,3169837
3-Jan-17,52.23,52.52,51.74,52.14,3450973
30-Dec-16,52.25,52.37,51.70,52.06,2323807
29-Dec-16,52.34,52.46,51.97,51.99,1639974
28-Dec-16,52.55,52.63,52.08,52.19,1965642
27-Dec-16,53.00,53.41,52.64,52.64,1290504
23-Dec-16,52.63,53.12,52.35,53.03,2351836
22-Dec-16,52.99,53.16,52.08,52.41,2693191
21-Dec-16,52.27,53.25,52.07,53.09,4565565
20-Dec-16,51.76,53.12,51.38,52.49,6363612
19-Dec-16,50.90,51.60,50.77,51.32,5040569
16-Dec-16,52.45,52.53,51.40,51.50,6323710
15-Dec-16,52.76,53.67,51.95,52.96,6992945
14-Dec-16,52.55,53.00,52.30,52.41,3522275
13-Dec-16,52.39,52.68,52.05,52.15,5387712
12-Dec-16,52.48,52.54,51.68,52.13,3895887
9-Dec-16,52.79,53.40,52.78,53.34,3136056
8-Dec-16,53.01,53.37,52.78,52.92,4104130
7-Dec-16,52.15,53.29,52.10,53.16,3853758
6-Dec-16,51.96,52.69,51.83,52.58,3510807
5-Dec-16,51.32,52.39,51.19,51.63,3800482
2-Dec-16,50.02,50.63,49.84,50.40,5594701
1-Dec-16,50.85,51.11,49.73,49.88,5822320
30-Nov-16,52.39,52.42,51.29,51.41,5548491
29-Nov-16,52.35,53.27,52.20,53.22,4152852
28-Nov-16,52.09,52.27,51.59,52.06,2338277
25-Nov-16,52.25,52.59,51.90,52.55,1498895
23-Nov-16,52.02,52.43,51.73,52.30,3324223
22-Nov-16,51.02,51.86,50.90,51.77,3732860
21-Nov-16,51.46,51.63,51.12,51.26,3345230
18-Nov-16,51.14,51.64,51.03,51.50,2278694
17-Nov-16,50.94,51.65,50.86,51.50,3087774
16-Nov-16,50.48,50.97,50.04,50.94,3681718
15-Nov-16,51.00,51.00,50.40,50.97,2512739
14-Nov-16,49.59,50.97,49.50,50.78,5583686
11-Nov-16,49.72,50.16,49.50,49.82,3722799
10-Nov-16,49.36,50.22,49.13,49.92,4968123
9-Nov-16,48.94,49.56,48.44,49.36,4594336
8-Nov-16,48.81,49.98,48.73,49.82,2519486
7-Nov-16,48.57,49.03,48.36,48.99,2428604
4-Nov-16,48.15,48.66,48.00,48.04,1644917
3-Nov-16,48.68,48.88,48.14,48.32,2797553
2-Nov-16,48.47,48.82,48.16,48.27,2304912
1-Nov-16,49.09,49.29,47.93,48.42,3648126
31-Oct-16,48.65,49.26,48.33,49.10,4371294
28-Oct-16,47.48,48.86,47.06,48.45,5915030
27-Oct-16,47.06,47.11,46.11,46.53,4670403
26-Oct-16,46.55,47.17,46.53,47.15,3221003
25-Oct-16,46.78,47.06,46.71,46.92,2823492
24-Oct-16,46.64,47.13,46.59,47.00,3293115
21-Oct-16,46.82,46.88,46.43,46.71,2850823
20-Oct-16,46.50,47.26,46.42,47.20,4194060
19-Oct-16,46.28,46.63,46.05,46.62,2535589
18-Oct-16,46.64,46.99,46.50,46.52,2587778
17-Oct-16,46.23,46.51,45.92,46.11,2997331
14-Oct-16,46.84,46.99,46.11,46.15,4007490
13-Oct-16,46.40,46.91,46.23,46.79,3698984
12-Oct-16,46.45,47.01,46.23,46.70,4540079
11-Oct-16,47.51,47.73,46.65,46.85,3515733
10-Oct-16,47.54,47.90,47.48,47.51,3202665
7-Oct-16,48.26,48.60,47.74,47.75,5033252
6-Oct-16,48.70,49.14,48.69,48.83,3813043
5-Oct-16,48.88,49.05,48.61,48.77,4068248
4-Oct-16,49.31,49.64,49.02,49.19,4205755
3-Oct-16,48.74,49.48,48.74,49.13,4338467
30-Sep-16,48.55,49.23,48.46,48.82,4481452
29-Sep-16,48.50,48.75,48.10,48.26,4540751
28-Sep-16,48.59,48.84,48.07,48.78,6649072
27-Sep-16,47.28,48.55,47.25,48.35,7849792
26-Sep-16,47.96,48.25,45.80,46.47,10295593
23-Sep-16,46.53,47.54,46.37,47.26,8279882
22-Sep-16,46.19,46.87,46.19,46.84,4370250
21-Sep-16,46.30,46.35,45.46,45.82,4510931
20-Sep-16,46.10,46.54,45.93,46.19,4927654
19-Sep-16,46.38,46.63,45.64,45.90,4709323
16-Sep-16,46.48,46.64,45.99,46.25,7241229
15-Sep-16,46.22,46.63,46.10,46.47,6366914
14-Sep-16,45.67,46.39,45.29,46.23,6272678
13-Sep-16,45.62,45.88,45.02,45.63,9740713
12-Sep-16,44.15,45.37,44.11,45.22,3509985
9-Sep-16,44.75,44.85,44.32,44.37,4629780
8-Sep-16,45.19,45.45,44.75,44.86,6043101
7-Sep-16,45.60,45.85,45.22,45.30,5082978
6-Sep-16,45.88,46.27,45.70,45.87,5301429
2-Sep-16,46.69,47.15,46.08,46.39,12104306
1-Sep-16,48.05,48.70,48.01,48.70,4118454
31-Aug-16,47.22,47.92,47.19,47.80,5859236
30-Aug-16,47.05,47.46,47.05,47.41,2694391
29-Aug-16,47.08,47.43,47.00,47.18,2366147
26-Aug-16,47.30,47.66,46.90,47.10,5077004
25-Aug-16,46.93,47.31,46.86,47.19,2753787
24-Aug-16,47.47,47.68,47.24,47.29,5564640
23-Aug-16,47.20,47.98,47.16,47.79,5136542
22-Aug-16,46.54,46.95,46.31,46.91,3481940
19-Aug-16,46.45,46.70,46.08,46.63,3132476
18-Aug-16,46.86,46.90,46.34,46.77,3709434
17-Aug-16,46.51,47.01,46.23,46.99,3467874
16-Aug-16,46.14,46.65,46.08,46.58,3012362
15-Aug-16,45.90,46.36,45.80,46.15,3446741
12-Aug-16,45.92,46.18,45.81,46.04,3423913
11-Aug-16,45.71,46.32,45.62,45.92,4630654
10-Aug-16,45.20,45.45,45.01,45.44,4842650
9-Aug-16,45.76,46.34,45.02,45.05,7587408
8-Aug-16,46.82,47.11,46.41,46.48,2822964
5-Aug-16,46.34,47.12,46.31,47.05,2566263
4-Aug-16,45.66,46.40,45.66,46.16,2772610
3-Aug-16,45.10,46.09,45.08,45.63,2826374
2-Aug-16,46.18,46.65,45.08,45.26,7242682
1-Aug-16,46.58,46.90,46.52,46.71,4294017
29-Jul-16,46.70,46.95,46.48,46.72,3887060
28-Jul-16,46.22,46.65,45.99,46.50,2588667
27-Jul-16,46.33,46.48,46.06,46.32,3431473
26-Jul-16,46.46,46.74,46.10,46.17,2750006
25-Jul-16,45.91,46.50,45.90,46.31,2964808
22-Jul-16,45.53,46.01,45.41,45.94,3842148
21-Jul-16,45.93,46.08,45.17,45.32,2986205
20-Jul-16,45.98,46.17,45.62,46.02,4224480
19-Jul-16,45.67,45.88,45.02,45.13,3866780
18-Jul-16,45.43,45.97,45.42,45.62,3072092
15-Jul-16,45.78,45.80,44.75,45.32,6204287
14-Jul-16,47.08,47.41,46.31,46.32,4010357
13-Jul-16,47.05,47.38,46.55,46.65,3609102
12-Jul-16,46.13,47.08,46.10,46.71,4912227
11-Jul-16,44.96,45.69,44.95,45.63,5547681
8-Jul-16,44.50,44.97,44.42,44.52,4181706
7-Jul-16,43.64,44.37,43.55,43.82,4953545
6-Jul-16,43.50,43.77,43.06,43.18,6195551
5-Jul-16,44.41,44.41,43.56,43.75,6251890
1-Jul-16,44.72,45.31,44.65,44.86,5651655
30-Jun-16,44.12,44.35,43.77,44.20,6542259
29-Jun-16,43.81,45.12,43.36,44.47,7536967
28-Jun-16,45.15,46.16,42.94,43.73,14384206
27-Jun-16,43.66,44.10,43.34,43.64,10892896
24-Jun-16,45.46,47.19,44.96,45.65,10970236
23-Jun-16,50.00,50.00,49.25,49.36,4211019
22-Jun-16,48.86,49.39,48.75,48.86,3174409
21-Jun-16,48.75,49.00,48.59,48.65,3073636
20-Jun-16,49.52,49.65,48.37,48.50,5553479
17-Jun-16,47.47,47.86,47.41,47.81,5882280
16-Jun-16,46.77,47.52,46.37,47.47,3061257
15-Jun-16,47.19,47.80,47.08,47.26,4193753
14-Jun-16,46.07,46.62,46.03,46.52,4327589
13-Jun-16,46.50,47.24,46.29,46.64,3660137
10-Jun-16,47.13,47.34,46.92,47.15,3790342
9-Jun-16,47.69,48.34,47.58,48.03,3516693
8-Jun-16,47.41,47.85,47.23,47.68,3046433
7-Jun-16,47.51,47.93,47.43,47.50,5054502
6-Jun-16,47.10,47.39,46.83,47.07,4198451
3-Jun-16,47.91,48.01,47.22,47.75,3349392
2-Jun-16,47.88,48.34,47.70,48.33,3438086
1-Jun-16,47.28,48.12,47.17,48.05,4547321
31-May-16,48.60,48.83,47.52,47.74,6066482
27-May-16,48.18,48.96,48.02,48.60,5430457
26-May-16,48.68,48.77,47.30,47.59,10698706
25-May-16,50.23,50.23,49.50,49.63,5194681
24-May-16,50.22,51.05,50.16,50.83,2411708
23-May-16,50.24,50.31,49.83,49.91,2182745
20-May-16,49.90,50.31,49.79,50.03,3088164
19-May-16,49.94,50.09,49.25,49.55,3408206
18-May-16,49.94,50.51,49.82,50.33,3566227
17-May-16,50.12,50.30,49.78,49.93,2483071
16-May-16,49.69,50.18,49.64,49.99,4432378
13-May-16,50.56,51.10,49.59,49.60,4527146
12-May-16,50.88,51.29,50.51,51.05,4010154
11-May-16,50.28,51.14,50.24,50.28,4067860
10-May-16,49.13,50.49,48.37,50.39,6062223
9-May-16,49.30,49.94,49.24,49.74,3313189
6-May-16,48.42,49.28,48.16,49.22,3628383
5-May-16,49.01,49.18,48.32,48.39,3216267
4-May-16,49.11,49.39,48.95,49.16,3199498
3-May-16,49.05,49.93,48.93,49.49,3734855
2-May-16,49.33,49.82,49.32,49.53,3537516
29-Apr-16,49.15,49.79,48.25,49.05,5878314
28-Apr-16,48.79,49.48,48.61,48.71,4475501
27-Apr-16,49.21,49.76,49.10,49.49,3450046
26-Apr-16,49.17,49.69,48.83,49.13,3125537
25-Apr-16,48.74,49.70,48.66,49.24,3606215
22-Apr-16,49.10,49.99,48.13,48.51,4882192
21-Apr-16,49.69,50.04,49.06,49.18,5332688
20-Apr-16,50.61,50.75,49.91,50.04,3741920
19-Apr-16,51.08,51.24,50.52,50.60,3249290
18-Apr-16,51.86,51.97,50.20,50.84,5266777
15-Apr-16,51.53,51.74,50.92,51.02,4735243
14-Apr-16,51.66,51.98,51.04,51.57,2772597
13-Apr-16,51.52,51.79,51.17,51.68,4515475
12-Apr-16,51.28,51.39,50.82,51.23,3538649
11-Apr-16,51.46,51.67,50.76,50.80,3973691
8-Apr-16,51.71,51.71,51.02,51.14,2961120
7-Apr-16,51.84,51.84,50.96,51.18,2968537
6-Apr-16,51.92,52.07,51.42,51.99,3961291
5-Apr-16,52.19,52.31,51.32,51.50,5511451
4-Apr-16,52.80,53.20,52.52,53.03,3586391
