Date,Open,High,Low,Close,Volume
31-Mar-17,129.39,130.19,129.30,129.61,3041677
30-Mar-17,128.75,129.53,128.60,129.32,2018028
29-Mar-17,129.00,129.67,128.63,128.84,3197762
28-Mar-17,129.46,129.77,128.94,129.45,3487426
27-Mar-17,129.08,129.82,129.02,129.49,2540421
24-Mar-17,129.38,129.68,129.16,129.34,3568234
23-Mar-17,129.14,129.59,128.81,129.00,2774527
22-Mar-17,128.58,129.15,128.41,129.10,3174246
21-Mar-17,129.22,129.75,128.18,128.52,4062394
20-Mar-17,128.99,129.48,128.47,128.78,3415501
17-Mar-17,128.57,129.98,128.42,128.64,12532692
16-Mar-17,128.30,128.90,127.93,127.98,3945669
15-Mar-17,128.21,128.30,127.47,127.88,3529288
14-Mar-17,127.65,128.23,127.50,127.80,2492670
13-Mar-17,128.01,128.27,127.35,127.61,3130804
10-Mar-17,128.56,128.59,127.72,127.98,3178943
9-Mar-17,127.95,128.72,127.69,128.14,3266027
8-Mar-17,128.07,128.36,127.47,128.09,3571805
7-Mar-17,128.06,128.31,127.34,128.07,3332350
6-Mar-17,127.90,128.34,127.40,128.03,3271529
3-Mar-17,128.19,128.66,127.44,127.90,4071613
2-Mar-17,129.05,129.81,128.15,128.23,6738068
1-Mar-17,128.02,130.00,127.62,129.05,5471550
28-Feb-17,127.08,127.93,126.58,127.65,4619284
27-Feb-17,127.68,127.75,126.78,126.99,5184016
24-Feb-17,128.36,128.74,127.75,128.65,3537175
23-Feb-17,127.93,128.90,127.44,128.27,3177951
22-Feb-17,127.52,128.11,126.40,127.85,3670720
21-Feb-17,127.16,128.32,127.16,128.04,4495173
17-Feb-17,126.78,127.88,126.68,127.80,3677392
16-Feb-17,126.75,127.82,126.31,126.70,3006011
15-Feb-17,125.66,126.79,125.45,126.48,2974932
14-Feb-17,125.50,126.07,125.27,125.81,2663089
13-Feb-17,126.02,126.68,125.49,125.54,2993779
10-Feb-17,124.68,126.11,124.52,125.82,3681436
9-Feb-17,124.47,125.00,124.36,124.48,2493605
8-Feb-17,124.58,125.36,124.49,124.67,2835161
7-Feb-17,124.95,125.42,124.59,124.59,2847175
6-Feb-17,124.09,124.90,123.95,124.45,2760306
3-Feb-17,123.31,124.51,123.28,124.24,3183438
2-Feb-17,122.54,123.98,122.26,123.22,3236564
1-Feb-17,121.90,122.50,121.70,122.42,3233576
31-Jan-17,123.02,123.34,122.10,122.57,3733323
30-Jan-17,122.81,123.21,122.30,123.02,3777994
27-Jan-17,122.27,122.99,121.48,122.86,3592676
26-Jan-17,121.86,122.38,121.76,121.88,2497470
25-Jan-17,121.49,121.92,120.95,121.79,3968263
24-Jan-17,121.97,122.06,120.52,121.05,3495211
23-Jan-17,121.69,122.08,119.82,121.38,7022556
20-Jan-17,122.26,122.95,122.02,122.26,4887114
19-Jan-17,122.24,123.00,122.04,122.18,3155158
18-Jan-17,122.81,123.00,121.80,122.71,3395003
17-Jan-17,120.75,122.80,120.70,122.75,4077567
13-Jan-17,122.24,122.24,121.10,121.50,2877498
12-Jan-17,120.30,122.31,120.20,122.10,3480802
11-Jan-17,120.93,121.50,120.62,120.88,3565185
10-Jan-17,120.46,120.85,119.73,120.25,3108394
9-Jan-17,120.76,121.06,120.33,120.43,3021844
6-Jan-17,118.93,121.50,118.52,120.76,4089186
5-Jan-17,119.34,120.20,119.10,119.70,4261070
4-Jan-17,119.00,119.74,118.18,119.48,3780783
3-Jan-17,121.86,122.00,118.96,119.62,5123752
30-Dec-16,122.79,123.16,121.44,121.72,3574609
29-Dec-16,122.76,123.36,122.76,122.79,1943461
28-Dec-16,122.93,123.35,122.61,122.68,1980189
27-Dec-16,123.30,123.65,122.97,123.07,1919649
23-Dec-16,123.37,123.83,123.07,123.14,2164391
22-Dec-16,123.12,124.00,123.09,123.72,3037126
21-Dec-16,123.15,123.76,123.10,123.18,2762883
20-Dec-16,123.18,123.90,122.71,123.33,2768822
19-Dec-16,123.23,123.66,122.77,122.99,3545487
16-Dec-16,122.89,123.84,122.54,123.24,10793788
15-Dec-16,122.97,123.36,121.77,122.36,4402760
14-Dec-16,122.87,123.40,122.39,122.84,4967405
13-Dec-16,121.78,122.92,121.76,122.68,4307966
12-Dec-16,121.57,122.25,121.26,121.74,4172434
9-Dec-16,120.57,121.27,120.21,121.26,2623713
8-Dec-16,120.05,121.15,119.50,120.45,3255709
7-Dec-16,119.41,120.13,118.46,119.92,4059907
6-Dec-16,119.29,119.65,118.60,119.25,3367984
5-Dec-16,119.45,120.34,119.03,119.29,5191935
2-Dec-16,118.00,118.50,117.71,118.24,3348723
1-Dec-16,118.96,118.96,117.87,118.47,4444978
30-Nov-16,120.22,120.49,119.27,119.27,5696096
29-Nov-16,120.38,120.79,119.02,120.68,6370935
