Date,Open,High,Low,Close,Volume
31-Mar-17,106.98,107.09,105.90,105.92,2888327
30-Mar-17,105.74,107.46,105.32,106.94,2961042
29-Mar-17,104.81,106.17,104.41,105.58,2904963
28-Mar-17,104.05,105.89,103.83,105.50,4237112
27-Mar-17,102.90,104.52,102.41,104.02,3811987
24-Mar-17,103.99,104.61,103.44,103.96,2734658
23-Mar-17,103.99,105.14,103.60,103.87,2587663
22-Mar-17,103.55,104.50,103.07,104.06,4101194
21-Mar-17,105.44,105.61,103.20,103.65,3846337
20-Mar-17,105.75,105.98,105.00,105.08,3444884
17-Mar-17,105.43,106.05,105.10,105.99,11395366
16-Mar-17,105.50,106.32,105.00,105.45,3645284
15-Mar-17,104.59,106.14,104.10,105.58,3496080
14-Mar-17,105.95,106.28,104.32,104.37,4303769
13-Mar-17,106.36,106.79,105.95,106.45,3514754
10-Mar-17,106.89,106.99,105.72,106.28,3316159
9-Mar-17,106.81,107.14,105.74,106.18,4131220
8-Mar-17,108.36,108.46,106.41,106.71,3460636
7-Mar-17,109.10,109.52,108.16,108.36,3331169
6-Mar-17,108.76,109.64,108.50,109.43,2989131
3-Mar-17,109.08,109.28,108.24,109.02,2304907
2-Mar-17,110.05,110.24,108.91,109.05,2739930
1-Mar-17,109.04,110.65,109.04,110.11,4064942
28-Feb-17,107.53,108.08,107.09,107.94,3756611
27-Feb-17,107.82,108.00,106.48,107.50,3288452
24-Feb-17,105.61,107.76,105.17,107.74,4632503
23-Feb-17,109.14,109.50,106.26,106.70,4876600
22-Feb-17,109.18,109.44,107.95,108.87,4206115
21-Feb-17,110.00,110.82,109.35,109.67,4169786
17-Feb-17,109.43,109.82,107.96,109.82,4246454
16-Feb-17,109.48,110.00,108.50,109.39,2811146
15-Feb-17,108.53,109.99,108.17,109.78,3352946
14-Feb-17,108.07,109.16,107.74,109.16,2890490
13-Feb-17,108.09,109.30,107.89,108.32,2640583
10-Feb-17,107.88,108.49,107.71,107.87,2777986
9-Feb-17,107.58,107.88,107.12,107.42,3603917
8-Feb-17,107.52,107.92,106.27,107.34,3901384
7-Feb-17,108.19,108.76,107.35,107.65,3493417
6-Feb-17,108.36,108.69,107.58,107.69,2858095
3-Feb-17,107.48,108.84,107.35,108.51,3249621
2-Feb-17,107.20,107.58,105.90,107.30,4225899
1-Feb-17,107.04,108.07,106.40,107.70,4374556
31-Jan-17,108.13,108.58,106.22,106.58,4534644
30-Jan-17,108.94,108.96,106.34,108.00,5334240
27-Jan-17,110.35,110.36,108.14,109.20,3555413
26-Jan-17,110.25,111.38,109.48,110.15,4607237
25-Jan-17,109.29,111.00,109.01,110.42,5137933
24-Jan-17,108.15,109.25,107.60,108.72,4564911
23-Jan-17,108.64,108.64,106.93,107.99,3932165
20-Jan-17,106.83,108.64,106.61,108.60,6439985
19-Jan-17,108.21,108.98,105.44,106.24,10103890
18-Jan-17,102.26,104.37,101.53,103.77,5363940
17-Jan-17,104.70,104.82,102.85,103.37,3401751
13-Jan-17,104.51,105.45,104.28,105.25,2744027
12-Jan-17,104.27,104.96,103.35,104.70,2396981
11-Jan-17,103.35,104.83,103.03,104.27,2864793
10-Jan-17,102.56,104.24,101.91,103.42,3563134
9-Jan-17,103.73,103.74,101.90,102.42,2968866
6-Jan-17,102.03,103.77,101.20,103.19,3862483
5-Jan-17,103.03,103.36,101.22,102.13,4180402
4-Jan-17,102.89,104.31,102.51,103.14,3668252
3-Jan-17,104.48,105.29,102.07,102.52,3824319
30-Dec-16,104.18,104.84,103.25,103.68,2914717
29-Dec-16,104.88,105.25,103.99,104.42,2122874
28-Dec-16,105.75,106.32,104.59,104.76,1799018
27-Dec-16,105.51,105.93,105.21,105.71,1518210
23-Dec-16,105.23,105.27,104.32,105.18,2146289
22-Dec-16,104.12,105.28,103.37,105.19,2994977
21-Dec-16,104.70,105.55,104.05,104.65,2210931
20-Dec-16,103.81,104.77,103.54,104.65,3026742
19-Dec-16,103.08,103.89,102.63,103.40,2859356
16-Dec-16,104.74,104.97,103.05,103.31,6610332
15-Dec-16,102.98,104.94,102.51,104.68,4480079
14-Dec-16,104.25,104.83,102.67,102.82,3549583
13-Dec-16,104.59,104.74,103.12,104.04,4144313
12-Dec-16,105.33,105.33,102.91,104.32,4136458
9-Dec-16,104.89,105.48,104.03,104.99,4098752
8-Dec-16,106.32,106.62,104.74,105.37,3862023
7-Dec-16,103.49,106.50,102.72,106.33,4936148
6-Dec-16,103.00,103.31,102.30,103.15,3228379
5-Dec-16,103.32,103.75,102.81,102.84,3459291
2-Dec-16,103.38,103.60,102.02,102.65,3510987
1-Dec-16,101.84,103.96,101.61,103.39,4748212
30-Nov-16,101.36,102.73,101.26,101.33,6190737
29-Nov-16,100.53,101.05,100.10,100.57,2945866
28-Nov-16,101.32,101.39,100.43,100.69,3533805
25-Nov-16,101.45,102.16,101.13,102.10,1680892
23-Nov-16,100.71,101.70,100.66,101.39,3154390
22-Nov-16,101.10,101.22,100.39,100.49,3350906
21-Nov-16,100.10,101.63,100.00,100.75,3385295
18-Nov-16,98.93,100.00,98.60,99.83,3653396
17-Nov-16,97.72,98.94,97.48,98.81,4377253
16-Nov-16,98.38,99.06,97.72,98.01,2866059
15-Nov-16,99.18,99.54,97.92,99.11,4263230
14-Nov-16,97.52,100.63,97.51,99.43,6616974
11-Nov-16,97.05,97.70,95.67,96.88,6664208
10-Nov-16,95.13,98.79,95.03,97.49,8952910
9-Nov-16,87.88,94.96,87.88,93.95,9655178
8-Nov-16,90.79,90.96,89.72,90.60,4268481
7-Nov-16,90.00,90.88,89.85,90.75,4556539
4-Nov-16,88.70,89.48,88.38,88.76,3745735
3-Nov-16,88.68,89.64,88.25,88.77,4468624
2-Nov-16,88.08,89.31,87.74,88.69,4437434
1-Nov-16,88.65,88.89,87.06,87.89,3980465
31-Oct-16,88.75,89.07,88.11,88.18,3681197
28-Oct-16,88.94,89.32,87.79,88.37,3784440
27-Oct-16,89.21,89.39,88.58,88.82,4367098
26-Oct-16,90.02,90.02,88.63,89.05,4750218
25-Oct-16,89.73,90.42,89.15,89.99,5599063
24-Oct-16,90.78,91.49,89.77,89.88,7037950
21-Oct-16,89.57,91.50,89.37,90.37,8288705
20-Oct-16,94.40,95.00,89.81,90.64,16101886
19-Oct-16,96.65,98.44,96.26,97.12,3707266
18-Oct-16,97.60,98.07,96.67,96.72,3565833
17-Oct-16,96.71,97.12,96.44,96.77,2363346
14-Oct-16,97.07,98.26,96.83,96.84,4927443
13-Oct-16,95.39,97.11,94.30,96.74,4312261
12-Oct-16,96.74,96.80,95.57,95.91,3419728
11-Oct-16,97.32,97.48,96.01,96.54,4202412
10-Oct-16,98.52,98.72,97.26,97.35,3041851
7-Oct-16,98.42,98.64,97.31,98.07,3275299
6-Oct-16,98.36,98.80,97.95,98.35,3088733
5-Oct-16,97.21,98.84,96.98,98.54,3225349
4-Oct-16,97.57,98.16,96.57,96.67,2626283
3-Oct-16,97.18,97.89,97.06,97.35,2378679
30-Sep-16,96.78,98.00,96.61,97.53,5190834
29-Sep-16,96.24,96.79,95.50,95.96,2671884
28-Sep-16,94.98,96.23,94.94,96.16,2533466
27-Sep-16,94.13,95.36,93.79,94.85,3167357
26-Sep-16,94.11,94.46,93.53,94.18,3625109
23-Sep-16,94.78,94.93,94.22,94.33,2912890
22-Sep-16,95.78,96.17,95.03,95.08,2960852
21-Sep-16,93.61,95.22,93.61,95.03,2523985
20-Sep-16,93.53,93.68,92.91,93.14,2477440
19-Sep-16,92.97,93.68,92.73,93.09,3195742
16-Sep-16,92.50,93.14,91.76,92.38,5185704
15-Sep-16,92.28,93.24,91.32,92.94,3402644
14-Sep-16,92.38,93.33,92.20,92.72,2883876
13-Sep-16,93.05,93.63,91.98,92.44,3717155
12-Sep-16,91.91,94.70,91.47,93.81,4670682
9-Sep-16,95.44,96.06,92.72,92.72,4321088
8-Sep-16,96.30,96.85,95.75,96.63,2096343
7-Sep-16,95.69,97.05,95.69,96.28,2437461
6-Sep-16,95.63,96.09,95.24,95.97,2269090
2-Sep-16,95.61,95.95,94.87,95.28,2095882
1-Sep-16,95.64,95.98,94.68,95.29,2068143
31-Aug-16,95.33,95.88,94.65,95.53,2864139
30-Aug-16,96.00,96.28,95.48,95.85,2427253
29-Aug-16,94.86,96.18,94.40,96.06,2746204
26-Aug-16,95.35,95.98,94.74,95.12,2531777
25-Aug-16,95.32,95.82,94.96,95.08,1853032
24-Aug-16,96.01,96.06,95.27,95.48,2504179
23-Aug-16,95.91,96.23,95.58,96.01,2301131
22-Aug-16,95.30,95.80,95.06,95.33,1947891
19-Aug-16,95.69,95.85,95.27,95.68,3027181
18-Aug-16,94.17,96.05,93.63,95.83,5063393
17-Aug-16,92.77,94.64,92.65,94.57,4718492
16-Aug-16,92.21,93.00,91.88,92.89,3787453
15-Aug-16,92.46,93.27,92.28,92.50,2734009
12-Aug-16,92.67,92.67,91.74,91.90,2899244
11-Aug-16,92.72,93.45,92.61,92.96,2525110
10-Aug-16,93.41,93.45,92.22,92.44,2568238
9-Aug-16,93.75,94.18,93.00,93.07,2416526
8-Aug-16,93.88,94.95,93.67,93.86,2491911
5-Aug-16,93.17,94.65,92.62,93.85,3146705
4-Aug-16,92.37,93.09,91.94,92.67,2245940
3-Aug-16,91.54,93.19,91.40,92.87,3907395
2-Aug-16,92.39,92.59,90.68,91.30,3786974
1-Aug-16,92.92,93.65,92.41,93.06,2797409
29-Jul-16,92.55,93.31,92.26,93.05,2801094
28-Jul-16,91.44,93.41,91.07,93.08,3104119
27-Jul-16,92.73,92.95,90.94,91.63,3523143
26-Jul-16,92.38,93.01,91.83,93.01,2890131
25-Jul-16,92.71,92.76,91.86,92.28,2744520
22-Jul-16,90.87,93.02,90.29,92.85,4208536
21-Jul-16,91.00,92.30,90.72,90.93,6661076
20-Jul-16,92.73,94.32,92.49,94.12,4245006
19-Jul-16,93.46,94.05,92.88,93.95,3351325
18-Jul-16,93.98,94.36,93.08,94.12,2721159
15-Jul-16,94.97,95.34,93.71,93.98,4030880
14-Jul-16,94.92,96.00,94.42,94.70,5332148
13-Jul-16,92.55,94.79,92.04,94.14,5898876
12-Jul-16,91.78,92.72,91.43,92.06,4120819
11-Jul-16,90.71,91.63,90.69,91.39,5423185
8-Jul-16,88.94,91.29,88.47,90.69,6448508
7-Jul-16,87.99,88.47,87.58,88.03,4798736
6-Jul-16,86.59,87.52,86.01,87.44,3740501
5-Jul-16,86.85,87.49,86.77,87.16,4305715
1-Jul-16,87.25,88.19,87.12,87.34,3772738
30-Jun-16,86.74,87.39,84.80,87.25,5839474
29-Jun-16,85.75,86.76,85.63,86.28,3763841
28-Jun-16,83.27,84.86,83.00,84.80,5954388
27-Jun-16,84.42,84.46,81.96,82.49,5948004
24-Jun-16,85.45,86.36,84.14,85.25,14193976
23-Jun-16,88.79,89.00,87.93,88.54,2691375
22-Jun-16,87.76,88.04,87.32,87.49,3399986
21-Jun-16,86.79,88.08,86.00,87.65,4146039
