Stock,Date,Open,High,Low,Close,Volume
chl,4-Apr-16,55.56,55.87,55.00,55.05,484589
chl,5-Apr-16,54.75,54.96,54.29,54.38,537557
chl,6-Apr-16,54.58,55.20,54.28,55.11,621985
chl,7-Apr-16,55.21,55.35,54.65,54.87,1177790
chl,8-Apr-16,55.68,55.83,55.45,55.50,779935
chl,11-Apr-16,55.46,55.74,55.01,55.08,478571
chl,12-Apr-16,55.55,55.69,55.06,55.58,495187
chl,13-Apr-16,57.21,57.21,56.70,57.20,1152360
chl,14-Apr-16,57.72,57.80,57.37,57.58,785475
chl,15-Apr-16,57.59,57.83,57.45,57.49,533779
chl,18-Apr-16,57.84,57.94,57.33,57.56,901690
chl,19-Apr-16,57.64,57.73,57.05,57.52,705600
chl,20-Apr-16,57.44,57.61,56.88,57.38,963647
chl,21-Apr-16,58.74,58.90,58.16,58.30,879906
chl,22-Apr-16,58.55,58.95,58.42,58.55,855139
chl,25-Apr-16,58.25,58.35,57.85,57.99,386914
chl,26-Apr-16,58.36,58.65,58.00,58.45,777445
chl,27-Apr-16,58.59,59.15,58.59,58.95,702603
chl,28-Apr-16,58.64,58.90,58.15,58.30,702418
chl,29-Apr-16,57.69,57.69,57.02,57.52,879871
chl,2-May-16,57.49,57.61,57.11,57.45,715630
chl,3-May-16,56.70,56.95,56.34,56.70,714544
chl,4-May-16,56.33,56.53,56.17,56.35,760549
chl,5-May-16,56.85,56.85,56.25,56.46,521427
chl,6-May-16,55.47,55.92,55.41,55.62,638474
chl,9-May-16,55.39,55.52,54.89,55.15,886373
chl,10-May-16,55.69,56.54,55.64,56.36,866074
chl,11-May-16,55.49,56.09,55.49,55.70,651666
chl,12-May-16,55.62,55.85,55.27,55.61,956163
chl,13-May-16,54.52,54.70,53.96,54.27,1361836
chl,16-May-16,54.89,55.75,54.89,55.62,778816
chl,17-May-16,55.04,55.27,54.77,54.94,1367201
chl,18-May-16,54.28,54.53,53.90,54.14,803721
chl,19-May-16,53.96,54.07,53.50,53.68,652458
chl,20-May-16,54.28,54.69,54.17,54.42,563241
chl,23-May-16,54.54,54.81,54.33,54.36,442725
chl,24-May-16,54.48,55.22,54.45,55.18,658082
chl,25-May-16,56.00,56.57,55.98,56.10,832900
chl,26-May-16,56.00,56.30,55.85,56.22,413738
chl,27-May-16,56.12,56.32,55.64,55.90,446530
chl,31-May-16,56.20,56.52,55.74,56.45,1001379
chl,1-Jun-16,57.01,57.30,56.82,57.04,805119
chl,2-Jun-16,57.13,57.35,56.97,57.28,762199
chl,3-Jun-16,56.88,56.93,56.44,56.75,547667
chl,6-Jun-16,56.95,56.95,56.49,56.86,651588
chl,7-Jun-16,58.32,58.60,57.99,58.12,1390449
chl,8-Jun-16,58.14,58.34,57.94,58.11,360433
chl,9-Jun-16,57.80,57.84,57.45,57.63,522868
chl,10-Jun-16,56.82,57.04,56.68,56.87,343787
chl,13-Jun-16,56.27,56.31,55.57,55.70,932495
chl,14-Jun-16,55.67,56.01,55.23,55.71,556712
chl,15-Jun-16,55.73,55.78,55.20,55.29,632165
chl,16-Jun-16,54.33,55.25,54.00,55.18,1023510
chl,17-Jun-16,54.90,55.07,54.63,54.99,685738
chl,20-Jun-16,55.40,55.76,55.34,55.54,902262
chl,21-Jun-16,55.64,56.19,55.50,55.96,480224
chl,22-Jun-16,56.11,56.20,55.85,55.92,431366
chl,23-Jun-16,56.51,56.96,56.34,56.92,394993
chl,24-Jun-16,54.24,54.88,54.08,54.30,1122563
chl,27-Jun-16,54.36,54.48,53.73,54.22,888352
chl,28-Jun-16,55.03,55.58,54.95,55.48,643149
chl,29-Jun-16,56.47,57.34,56.47,57.27,731188
chl,30-Jun-16,57.25,57.97,56.97,57.90,646748
chl,1-Jul-16,57.80,58.17,57.78,57.92,524657
chl,5-Jul-16,57.32,57.42,56.99,57.15,535726
chl,6-Jul-16,56.00,56.36,55.52,56.31,815257
chl,7-Jul-16,56.76,57.01,56.20,56.48,534151
chl,8-Jul-16,56.61,57.35,56.61,57.26,793732
chl,11-Jul-16,57.28,57.68,57.14,57.48,827684
chl,12-Jul-16,58.44,58.95,58.37,58.57,877997
chl,13-Jul-16,58.71,59.39,58.62,59.35,801074
chl,14-Jul-16,59.64,59.94,59.60,59.79,460670
chl,15-Jul-16,59.98,60.00,59.68,59.68,478813
chl,18-Jul-16,60.01,60.39,59.96,60.25,676133
