Date,Open,High,Low,Close,Volume
31-Mar-17,55.14,55.34,54.94,55.23,926421
30-Mar-17,55.13,55.29,55.08,55.16,620736
29-Mar-17,55.42,55.42,55.20,55.25,621732
28-Mar-17,55.86,55.89,55.45,55.47,1551285
27-Mar-17,55.63,55.87,55.47,55.66,825402
24-Mar-17,55.90,56.18,55.85,56.00,1229543
23-Mar-17,56.51,57.10,56.11,56.39,1202895
22-Mar-17,58.02,58.61,57.84,58.24,649439
21-Mar-17,58.53,58.83,57.63,57.66,997478
20-Mar-17,57.99,58.68,57.79,58.52,945499
17-Mar-17,56.00,56.44,55.91,56.33,944871
16-Mar-17,55.15,55.74,55.14,55.56,800704
15-Mar-17,54.04,54.65,53.98,54.60,799051
14-Mar-17,54.34,54.42,53.89,53.99,588513
13-Mar-17,54.74,54.87,54.64,54.81,516941
10-Mar-17,54.70,54.75,54.45,54.71,497850
9-Mar-17,54.63,54.76,54.51,54.76,547416
8-Mar-17,54.86,55.02,54.77,54.85,408906
7-Mar-17,54.65,54.78,54.50,54.69,445317
6-Mar-17,54.86,54.88,54.48,54.65,463480
3-Mar-17,55.30,55.48,55.17,55.29,1291545
2-Mar-17,55.04,55.07,54.72,54.99,825844
1-Mar-17,55.57,55.93,55.40,55.78,454722
28-Feb-17,55.49,55.49,55.22,55.26,468962
27-Feb-17,55.95,56.11,55.81,55.93,549332
24-Feb-17,55.93,56.18,55.71,56.18,654146
23-Feb-17,56.02,56.19,55.95,56.01,993755
22-Feb-17,56.31,56.50,56.24,56.50,314251
21-Feb-17,56.13,56.46,56.00,56.46,564313
17-Feb-17,55.92,56.13,55.66,56.11,452890
16-Feb-17,56.70,56.80,56.33,56.44,485629
15-Feb-17,56.41,56.51,56.27,56.49,468516
14-Feb-17,56.74,56.94,56.29,56.80,531861
13-Feb-17,57.02,57.50,57.02,57.39,350189
10-Feb-17,56.77,57.15,56.53,57.01,413301
9-Feb-17,57.12,57.13,56.71,56.82,780962
8-Feb-17,57.04,57.22,56.90,57.13,340663
7-Feb-17,56.99,57.21,56.84,56.99,316899
6-Feb-17,56.87,57.24,56.87,57.14,424696
3-Feb-17,56.56,56.71,56.34,56.46,1040979
2-Feb-17,56.89,57.04,56.63,56.92,484434
1-Feb-17,57.30,57.33,56.84,56.91,517769
31-Jan-17,56.60,57.05,56.60,57.00,640930
30-Jan-17,56.57,56.88,56.50,56.71,414148
27-Jan-17,56.81,56.99,56.51,56.76,536374
26-Jan-17,56.57,56.98,56.57,56.81,493085
25-Jan-17,56.24,56.39,56.08,56.32,596906
24-Jan-17,55.98,56.46,55.97,56.30,617286
23-Jan-17,55.54,56.01,55.50,55.99,462004
20-Jan-17,55.66,55.85,55.39,55.60,405470
19-Jan-17,55.61,55.65,55.36,55.51,402636
18-Jan-17,55.66,55.87,55.45,55.54,562183
17-Jan-17,54.91,55.35,54.87,55.27,744628
13-Jan-17,55.00,55.28,54.88,55.15,506594
12-Jan-17,54.77,54.83,54.54,54.74,472682
11-Jan-17,54.85,54.85,54.45,54.83,487517
10-Jan-17,54.40,54.69,54.16,54.49,436133
9-Jan-17,54.33,54.36,54.12,54.15,423436
6-Jan-17,54.43,54.56,53.96,54.08,770925
5-Jan-17,54.22,54.96,54.22,54.91,1147365
4-Jan-17,53.06,53.55,53.05,53.41,531762
3-Jan-17,52.91,53.04,52.68,52.87,700097
30-Dec-16,52.81,52.86,52.31,52.43,528245
29-Dec-16,52.55,52.86,52.50,52.53,513333
28-Dec-16,52.25,52.34,52.08,52.18,451935
27-Dec-16,51.95,52.10,51.95,52.05,483492
23-Dec-16,52.04,52.09,51.73,51.92,818210
22-Dec-16,52.37,52.65,52.02,52.49,1091806
21-Dec-16,52.66,53.00,52.58,52.79,732270
20-Dec-16,52.68,52.81,52.53,52.68,789352
19-Dec-16,52.12,52.45,51.95,52.20,563563
16-Dec-16,52.59,52.64,51.88,52.02,952049
15-Dec-16,52.75,53.06,52.70,52.78,886599
14-Dec-16,53.10,53.85,52.78,52.84,938663
13-Dec-16,53.09,53.54,53.01,53.37,1228532
12-Dec-16,53.35,53.44,53.06,53.38,1551745
9-Dec-16,54.08,54.37,53.85,54.26,714234
8-Dec-16,54.65,54.75,54.35,54.41,699319
7-Dec-16,54.39,55.09,54.30,55.09,736308
6-Dec-16,54.26,54.32,54.09,54.21,664630
5-Dec-16,54.00,54.40,53.95,54.27,728470
2-Dec-16,54.57,54.89,54.39,54.84,496379
1-Dec-16,55.12,55.34,54.93,55.07,528612
30-Nov-16,54.68,54.92,54.59,54.69,749707
29-Nov-16,54.29,54.47,54.09,54.29,395570
28-Nov-16,54.32,54.50,54.29,54.37,446509
25-Nov-16,54.14,54.32,53.96,54.08,225648
23-Nov-16,53.90,54.08,53.66,53.90,518798
22-Nov-16,54.32,54.39,54.00,54.18,596956
21-Nov-16,54.31,54.38,53.99,54.06,453666
18-Nov-16,54.29,54.50,54.15,54.29,631680
17-Nov-16,54.43,54.59,54.32,54.39,503083
16-Nov-16,54.37,54.49,53.84,54.01,869718
15-Nov-16,54.46,54.76,54.30,54.66,897927
14-Nov-16,54.29,54.59,54.02,54.12,668193
11-Nov-16,54.17,54.46,53.76,54.32,787824
10-Nov-16,56.11,56.19,55.22,55.40,1037013
9-Nov-16,56.50,56.73,56.00,56.14,1005392
8-Nov-16,56.99,57.69,56.93,57.18,886519
7-Nov-16,56.81,57.08,56.75,57.08,549353
4-Nov-16,56.26,56.33,55.90,55.92,462512
3-Nov-16,56.43,56.71,56.27,56.33,864356
2-Nov-16,56.72,56.82,56.01,56.43,1154775
1-Nov-16,57.56,57.66,56.84,57.01,1525957
31-Oct-16,57.25,57.52,57.25,57.43,765376
28-Oct-16,57.01,57.38,56.82,56.96,559871
27-Oct-16,57.61,57.67,57.18,57.20,707937
26-Oct-16,58.14,58.33,57.96,58.16,494285
25-Oct-16,58.57,58.62,58.26,58.30,407058
24-Oct-16,58.95,58.95,58.48,58.61,373828
21-Oct-16,59.10,59.16,58.87,58.94,365268
20-Oct-16,59.46,59.69,59.01,59.22,572143
19-Oct-16,60.22,60.46,60.06,60.07,368896
18-Oct-16,60.28,60.50,60.07,60.38,925113
17-Oct-16,59.62,59.80,59.37,59.57,817449
14-Oct-16,60.92,61.23,60.83,60.96,596809
13-Oct-16,60.74,60.98,60.09,60.76,509076
12-Oct-16,61.18,61.58,60.97,61.54,471485
11-Oct-16,61.60,61.60,60.73,60.96,805242
10-Oct-16,62.38,63.26,62.34,63.12,487517
7-Oct-16,62.45,62.45,61.92,62.39,383081
6-Oct-16,62.76,62.93,62.47,62.79,431154
5-Oct-16,62.55,63.24,62.39,63.10,942836
4-Oct-16,62.18,62.52,61.84,62.02,877671
3-Oct-16,61.62,62.09,61.49,62.05,633413
30-Sep-16,61.12,61.80,61.09,61.52,776448
29-Sep-16,61.99,62.27,61.66,61.89,1114664
28-Sep-16,61.78,62.27,61.58,62.13,444732
27-Sep-16,61.27,61.54,61.08,61.54,369359
26-Sep-16,61.49,61.51,61.14,61.15,279597
23-Sep-16,61.85,62.11,61.82,61.88,371843
22-Sep-16,62.65,62.78,62.38,62.66,597577
21-Sep-16,61.72,62.41,61.41,62.35,333239
20-Sep-16,61.44,61.51,61.26,61.28,379754
19-Sep-16,61.47,61.52,61.03,61.03,285362
16-Sep-16,61.25,61.30,60.88,61.03,499450
15-Sep-16,61.10,61.70,61.06,61.62,517427
14-Sep-16,61.43,61.63,61.22,61.49,544504
13-Sep-16,61.69,61.77,60.70,60.91,668447
12-Sep-16,60.77,61.89,60.68,61.78,503837
9-Sep-16,62.44,62.70,61.57,61.65,896826
8-Sep-16,61.78,62.05,61.63,61.93,601372
7-Sep-16,61.05,61.11,60.66,60.79,492756
6-Sep-16,61.63,61.67,61.09,61.34,485538
2-Sep-16,61.41,61.98,61.41,61.90,681839
1-Sep-16,60.84,61.09,60.57,60.94,469462
31-Aug-16,60.97,60.97,60.60,60.71,800322
30-Aug-16,61.48,61.60,61.02,61.21,414002
29-Aug-16,62.08,62.34,61.80,62.21,588909
26-Aug-16,62.37,62.72,61.35,61.71,718262
25-Aug-16,61.99,62.48,61.99,62.41,427590
24-Aug-16,62.61,62.82,62.39,62.58,345706
23-Aug-16,63.13,63.34,62.70,62.74,388795
22-Aug-16,62.91,62.91,62.57,62.91,498247
19-Aug-16,63.42,63.64,63.14,63.33,488529
18-Aug-16,63.32,63.72,63.21,63.72,445327
17-Aug-16,62.39,62.58,61.89,62.54,516450
16-Aug-16,63.16,63.25,62.55,62.60,654367
15-Aug-16,63.57,63.89,63.57,63.67,622485
12-Aug-16,63.32,63.62,63.27,63.36,513579
11-Aug-16,62.47,62.90,62.37,62.84,512860
10-Aug-16,62.09,62.09,61.45,61.56,592432
9-Aug-16,62.13,62.54,62.13,62.49,985834
8-Aug-16,62.48,62.61,62.32,62.50,441814
5-Aug-16,62.03,62.31,62.03,62.26,505936
4-Aug-16,61.64,61.72,61.36,61.64,401987
3-Aug-16,61.60,61.94,61.45,61.92,417087
2-Aug-16,62.40,62.58,61.82,62.24,361784
1-Aug-16,62.61,62.99,62.47,62.59,585812
29-Jul-16,61.74,62.17,61.70,62.09,340798
28-Jul-16,62.45,62.48,62.02,62.44,450889
27-Jul-16,62.86,62.90,62.20,62.48,1101170
26-Jul-16,62.79,63.16,62.75,62.83,596345
25-Jul-16,62.27,62.39,62.04,62.36,576809
22-Jul-16,62.45,62.45,62.02,62.29,418054
21-Jul-16,62.67,62.88,62.23,62.44,1185200
20-Jul-16,60.47,60.69,60.35,60.55,620460
19-Jul-16,60.04,60.11,59.68,59.75,496084
18-Jul-16,60.01,60.39,59.96,60.25,676133
15-Jul-16,59.98,60.00,59.68,59.68,478813
14-Jul-16,59.64,59.94,59.60,59.79,460670
13-Jul-16,58.71,59.39,58.62,59.35,801074
12-Jul-16,58.44,58.95,58.37,58.57,877997
11-Jul-16,57.28,57.68,57.14,57.48,827684
8-Jul-16,56.61,57.35,56.61,57.26,793732
7-Jul-16,56.76,57.01,56.20,56.48,534151
6-Jul-16,56.00,56.36,55.52,56.31,815257
5-Jul-16,57.32,57.42,56.99,57.15,535726
1-Jul-16,57.80,58.17,57.78,57.92,524657
30-Jun-16,57.25,57.97,56.97,57.90,646748
29-Jun-16,56.47,57.34,56.47,57.27,731188
28-Jun-16,55.03,55.58,54.95,55.48,643149
27-Jun-16,54.36,54.48,53.73,54.22,888352
24-Jun-16,54.24,54.88,54.08,54.30,1122563
23-Jun-16,56.51,56.96,56.34,56.92,394993
22-Jun-16,56.11,56.20,55.85,55.92,431366
21-Jun-16,55.64,56.19,55.50,55.96,480224
20-Jun-16,55.40,55.76,55.34,55.54,902262
17-Jun-16,54.90,55.07,54.63,54.99,685738
16-Jun-16,54.33,55.25,54.00,55.18,1023510
15-Jun-16,55.73,55.78,55.20,55.29,632165
14-Jun-16,55.67,56.01,55.23,55.71,556712
13-Jun-16,56.27,56.31,55.57,55.70,932495
10-Jun-16,56.82,57.04,56.68,56.87,343787
9-Jun-16,57.80,57.84,57.45,57.63,522868
8-Jun-16,58.14,58.34,57.94,58.11,360433
7-Jun-16,58.32,58.60,57.99,58.12,1390449
6-Jun-16,56.95,56.95,56.49,56.86,651588
3-Jun-16,56.88,56.93,56.44,56.75,547667
