Date,Open,High,Low,Close,Volume
31-Mar-17,82.27,82.93,82.19,82.49,3174023
30-Mar-17,82.25,82.59,82.02,82.56,3483003
29-Mar-17,82.04,82.44,81.66,82.38,2873958
28-Mar-17,81.44,82.35,81.30,82.14,3216035
27-Mar-17,81.00,81.79,80.50,81.61,3403008
24-Mar-17,81.88,82.25,81.29,81.61,3701775
23-Mar-17,82.00,82.40,81.46,81.52,3056723
22-Mar-17,81.69,81.97,81.14,81.88,3057020
21-Mar-17,83.00,83.18,81.37,81.55,4206223
20-Mar-17,83.03,83.63,82.81,82.90,3428659
17-Mar-17,83.94,83.98,83.02,83.03,7828206
16-Mar-17,83.95,84.00,83.27,83.52,3762071
15-Mar-17,83.56,83.77,83.00,83.48,3074122
14-Mar-17,83.42,83.62,82.73,83.51,2933549
13-Mar-17,83.47,83.74,83.08,83.61,3463682
10-Mar-17,83.56,83.95,83.24,83.51,3929955
9-Mar-17,83.19,83.58,82.81,83.28,3646871
8-Mar-17,82.96,83.84,82.94,83.48,3734027
7-Mar-17,83.36,84.39,82.81,82.97,5431814
6-Mar-17,81.76,82.72,81.62,82.50,5328540
3-Mar-17,82.00,82.59,81.65,82.22,6223579
2-Mar-17,83.56,83.70,82.35,82.67,5884825
1-Mar-17,82.87,84.40,82.11,83.81,14319226
28-Feb-17,81.50,81.83,80.69,81.35,10532997
27-Feb-17,81.63,81.92,80.90,81.54,3289270
24-Feb-17,81.41,81.82,80.97,81.78,4434187
23-Feb-17,82.33,83.12,81.82,82.07,5595150
22-Feb-17,82.00,82.39,81.71,82.08,2741390
21-Feb-17,81.68,82.42,81.29,82.18,4324955
17-Feb-17,80.57,81.47,80.25,81.47,3674149
16-Feb-17,81.52,81.72,80.50,80.82,5234718
15-Feb-17,81.23,82.83,80.89,81.67,5271923
14-Feb-17,80.95,81.30,80.56,80.92,4809545
13-Feb-17,81.18,81.30,80.46,80.91,4327751
10-Feb-17,81.41,82.00,80.54,80.64,3061931
9-Feb-17,80.50,81.98,80.49,81.03,5148175
8-Feb-17,80.00,80.83,79.63,80.70,2568049
7-Feb-17,80.28,80.53,79.54,80.21,3628231
6-Feb-17,80.02,80.12,79.35,79.75,2664167
3-Feb-17,80.39,80.71,79.81,80.21,4975379
2-Feb-17,78.33,80.26,77.89,80.13,7676117
1-Feb-17,78.91,79.30,77.45,78.58,6199661
31-Jan-17,78.45,80.00,78.17,79.10,7835236
30-Jan-17,77.80,78.78,77.10,78.71,4964049
27-Jan-17,78.19,78.57,77.92,78.21,2219381
26-Jan-17,79.00,79.08,77.28,77.95,4121202
25-Jan-17,77.53,78.59,77.25,78.47,5690443
24-Jan-17,76.32,77.46,75.95,77.11,3730275
23-Jan-17,75.70,76.96,75.70,76.16,3770858
20-Jan-17,75.76,76.12,75.43,76.03,4593553
19-Jan-17,75.72,76.17,75.34,75.57,3274267
18-Jan-17,75.59,76.22,75.08,75.78,3969485
17-Jan-17,75.30,75.30,74.37,75.02,3152473
13-Jan-17,74.84,75.78,74.70,75.64,3689998
12-Jan-17,75.17,75.75,74.00,75.21,4681665
11-Jan-17,74.27,76.08,74.06,75.77,7591333
10-Jan-17,74.12,74.30,73.44,73.98,3994812
9-Jan-17,74.05,74.44,73.51,73.96,3933113
6-Jan-17,72.89,74.13,72.55,73.80,4466130
5-Jan-17,72.81,73.66,72.53,72.79,4695604
4-Jan-17,71.08,73.06,70.76,72.80,9289476
