Date,Open,High,Low,Close,Volume
31-Mar-17,173.98,174.95,173.69,174.14,2913684
30-Mar-17,173.86,174.59,173.69,173.86,3168254
29-Mar-17,174.30,174.49,173.46,173.94,3085606
28-Mar-17,173.94,175.00,173.00,174.51,3523870
27-Mar-17,172.69,174.16,172.09,173.77,3259049
24-Mar-17,175.12,175.50,173.39,173.83,3221675
23-Mar-17,174.43,175.67,173.56,174.82,3739976
22-Mar-17,174.04,175.06,172.80,174.78,3450512
21-Mar-17,176.01,176.23,173.84,173.88,3927741
20-Mar-17,175.65,176.18,175.14,175.70,2476125
17-Mar-17,176.29,176.79,175.65,175.65,5920967
16-Mar-17,178.46,179.00,176.82,177.24,4311848
15-Mar-17,175.71,176.28,174.75,175.81,3815537
14-Mar-17,176.18,176.82,175.21,175.72,3147497
13-Mar-17,177.85,178.06,176.42,176.46,3482189
10-Mar-17,178.21,179.49,177.42,177.83,3100326
9-Mar-17,179.15,179.25,175.88,177.18,5444076
8-Mar-17,180.75,180.95,179.30,179.45,3557396
7-Mar-17,180.71,181.29,180.20,180.38,2980516
6-Mar-17,179.72,180.99,179.57,180.47,3204434
3-Mar-17,180.04,181.32,179.76,180.05,1825048
2-Mar-17,181.88,181.88,180.43,180.53,2918183
1-Mar-17,180.48,182.55,180.03,181.95,3005564
28-Feb-17,179.38,180.63,179.35,179.82,3273420
27-Feb-17,181.19,181.25,179.28,179.40,3691327
24-Feb-17,180.21,181.49,179.89,181.35,3300093
23-Feb-17,182.00,182.50,180.92,181.65,2282526
22-Feb-17,180.09,181.34,180.09,181.15,3020540
21-Feb-17,180.60,180.79,179.12,180.26,4480299
17-Feb-17,181.25,181.57,180.00,180.67,3552495
16-Feb-17,181.45,182.79,180.87,181.43,3251547
15-Feb-17,180.20,181.92,179.81,181.68,2914292
14-Feb-17,178.57,180.13,178.35,180.13,2776528
13-Feb-17,179.24,179.90,178.84,179.36,3093372
10-Feb-17,177.37,178.87,176.76,178.68,2930710
9-Feb-17,176.17,177.80,175.91,177.21,3090710
8-Feb-17,177.50,177.50,175.88,176.17,2913126
