Date,Open,High,Low,Close,Volume
31-Mar-17,15.51,15.58,15.44,15.54,293167
30-Mar-17,15.63,15.66,15.58,15.61,336987
29-Mar-17,15.65,15.71,15.60,15.70,467823
28-Mar-17,15.84,15.91,15.81,15.82,335694
27-Mar-17,16.01,16.03,15.95,15.99,298788
24-Mar-17,15.84,15.84,15.74,15.81,313726
23-Mar-17,15.72,15.98,15.70,15.88,358556
22-Mar-17,15.87,15.99,15.87,15.96,306115
21-Mar-17,16.00,16.03,15.77,15.84,324273
20-Mar-17,16.00,16.00,15.81,15.84,318935
17-Mar-17,15.88,15.97,15.80,15.87,623178
16-Mar-17,15.70,15.80,15.69,15.79,607870
15-Mar-17,15.36,15.60,15.33,15.59,530633
14-Mar-17,15.46,15.50,15.40,15.42,586393
13-Mar-17,15.72,15.73,15.59,15.61,549781
10-Mar-17,15.72,15.76,15.65,15.70,703146
9-Mar-17,15.47,15.48,15.40,15.45,1211785
8-Mar-17,15.14,15.15,15.06,15.07,315876
7-Mar-17,15.16,15.20,15.06,15.09,1647374
6-Mar-17,15.27,15.27,15.19,15.25,746030
3-Mar-17,15.26,15.34,15.13,15.31,713746
2-Mar-17,15.04,15.15,14.94,15.00,819996
1-Mar-17,15.10,15.23,15.10,15.15,334181
28-Feb-17,15.12,15.14,15.04,15.05,539676
27-Feb-17,15.14,15.17,15.07,15.11,475811
24-Feb-17,15.32,15.35,15.24,15.28,805715
23-Feb-17,15.61,15.62,15.46,15.61,1160896
22-Feb-17,15.22,15.56,15.17,15.54,1683820
21-Feb-17,15.31,15.37,15.24,15.35,556899
17-Feb-17,15.36,15.38,15.26,15.37,398161
16-Feb-17,15.64,15.69,15.62,15.66,323187
15-Feb-17,15.40,15.52,15.39,15.48,449923
14-Feb-17,15.44,15.49,15.33,15.42,521934
13-Feb-17,15.41,15.46,15.30,15.45,976594
10-Feb-17,15.32,15.41,15.28,15.40,242174
9-Feb-17,15.45,15.50,15.38,15.44,360933
8-Feb-17,15.25,15.38,15.20,15.37,507279
7-Feb-17,15.18,15.25,15.11,15.25,677442
6-Feb-17,15.39,15.44,15.33,15.40,571769
3-Feb-17,15.49,15.55,15.45,15.53,210693
2-Feb-17,15.57,15.62,15.39,15.46,212300
1-Feb-17,15.45,15.47,15.29,15.39,242920
31-Jan-17,15.57,15.63,15.47,15.55,336922
30-Jan-17,15.28,15.43,15.25,15.38,432681
27-Jan-17,15.42,15.51,15.38,15.47,386256
26-Jan-17,15.54,15.60,15.45,15.56,413388
25-Jan-17,15.66,15.67,15.53,15.64,423839
24-Jan-17,15.67,15.74,15.64,15.71,353710
23-Jan-17,15.81,15.90,15.74,15.88,289029
20-Jan-17,15.80,15.90,15.77,15.87,313013
19-Jan-17,15.84,15.89,15.70,15.78,487699
18-Jan-17,15.93,15.98,15.84,15.88,534584
17-Jan-17,15.88,16.11,15.85,16.06,516494
13-Jan-17,15.89,15.95,15.81,15.88,608779
12-Jan-17,15.52,15.77,15.51,15.75,329367
11-Jan-17,15.26,15.52,15.25,15.47,268040
10-Jan-17,15.34,15.46,15.32,15.37,356527
9-Jan-17,15.50,15.65,15.48,15.56,535992
6-Jan-17,15.53,15.60,15.50,15.56,288693
5-Jan-17,15.42,15.70,15.42,15.69,334944
4-Jan-17,15.30,15.40,15.27,15.36,274931
3-Jan-17,15.05,15.22,15.03,15.19,428745
30-Dec-16,15.13,15.20,15.07,15.14,352648
29-Dec-16,15.00,15.05,14.97,15.00,332767
