Date,Open,High,Low,Close,Volume
31-Mar-17,11.12,11.22,11.11,11.19,1165853
30-Mar-17,11.18,11.22,11.16,11.17,676105
29-Mar-17,11.18,11.24,11.12,11.23,1194519
28-Mar-17,11.32,11.38,11.30,11.36,1117313
27-Mar-17,11.32,11.37,11.30,11.35,1387455
24-Mar-17,11.26,11.31,11.23,11.27,1379156
23-Mar-17,11.17,11.31,11.16,11.26,1168520
22-Mar-17,11.25,11.27,11.21,11.24,2197496
21-Mar-17,11.36,11.38,11.13,11.13,2193791
20-Mar-17,11.29,11.30,11.19,11.23,1649072
17-Mar-17,11.31,11.39,11.28,11.36,1841641
16-Mar-17,11.13,11.25,11.13,11.23,2000418
15-Mar-17,10.77,11.03,10.77,10.98,2272189
14-Mar-17,10.79,10.80,10.75,10.79,1797688
13-Mar-17,10.95,11.00,10.92,10.98,1473479
10-Mar-17,10.97,11.01,10.94,11.00,1270565
9-Mar-17,10.88,10.93,10.84,10.92,2017388
8-Mar-17,10.74,10.74,10.68,10.69,955442
7-Mar-17,10.62,10.70,10.62,10.68,1649913
6-Mar-17,10.62,10.69,10.60,10.68,2764301
3-Mar-17,10.48,10.56,10.42,10.55,2025339
2-Mar-17,10.34,10.41,10.34,10.39,2222259
1-Mar-17,10.35,10.45,10.33,10.42,1751231
28-Feb-17,10.22,10.24,10.11,10.13,1251913
27-Feb-17,10.09,10.16,10.08,10.14,820886
24-Feb-17,10.05,10.15,10.04,10.15,885002
23-Feb-17,10.06,10.11,10.01,10.06,1240050
22-Feb-17,9.80,9.86,9.73,9.84,1018573
21-Feb-17,9.85,9.90,9.81,9.90,1054245
17-Feb-17,9.84,9.88,9.78,9.87,808241
16-Feb-17,9.89,9.92,9.86,9.90,1178705
15-Feb-17,9.69,9.83,9.68,9.82,848236
14-Feb-17,9.68,9.70,9.62,9.70,1173849
13-Feb-17,9.65,9.67,9.61,9.62,704325
10-Feb-17,9.55,9.60,9.53,9.58,715829
9-Feb-17,9.63,9.74,9.63,9.69,1211988
8-Feb-17,9.43,9.51,9.37,9.50,955122
7-Feb-17,9.47,9.48,9.42,9.46,1095923
6-Feb-17,9.53,9.55,9.50,9.50,1127985
3-Feb-17,9.69,9.69,9.64,9.66,3182013
2-Feb-17,9.64,9.69,9.59,9.61,2647754
1-Feb-17,9.56,9.56,9.44,9.53,1310386
31-Jan-17,9.64,9.69,9.59,9.64,2382942
30-Jan-17,9.54,9.59,9.50,9.59,1956758
27-Jan-17,9.63,9.67,9.61,9.66,1016593
26-Jan-17,9.73,9.74,9.64,9.69,1119873
25-Jan-17,9.85,9.86,9.73,9.80,6228219
24-Jan-17,9.66,9.74,9.65,9.72,1737927
23-Jan-17,9.56,9.64,9.53,9.63,1385284
20-Jan-17,9.70,9.72,9.61,9.67,858369
19-Jan-17,9.63,9.65,9.54,9.61,1576697
18-Jan-17,9.72,9.73,9.63,9.65,1466244
17-Jan-17,9.65,9.74,9.62,9.72,1658578
13-Jan-17,9.76,9.78,9.72,9.74,4346732
12-Jan-17,9.67,9.76,9.67,9.75,1213384
11-Jan-17,9.57,9.65,9.52,9.65,1441232
10-Jan-17,9.65,9.67,9.63,9.64,2948185
9-Jan-17,9.62,9.68,9.60,9.65,1208047
6-Jan-17,9.61,9.68,9.60,9.65,2643237
5-Jan-17,9.55,9.67,9.55,9.66,4432622
4-Jan-17,9.38,9.40,9.32,9.33,1492586
3-Jan-17,9.19,9.33,9.15,9.32,1844885
30-Dec-16,9.20,9.26,9.16,9.20,1536655
29-Dec-16,9.14,9.18,9.10,9.13,916707
28-Dec-16,9.04,9.10,9.02,9.03,1181196
27-Dec-16,9.16,9.19,9.12,9.13,1248860
23-Dec-16,9.16,9.23,9.16,9.17,1523525
22-Dec-16,9.03,9.08,9.01,9.03,1377400
21-Dec-16,9.18,9.20,9.16,9.17,1696896
