Date,Open,High,Low,Close,Volume
31-Mar-17,91.50,92.21,91.15,92.14,1404816
30-Mar-17,92.00,92.89,91.29,91.42,1263586
29-Mar-17,91.92,92.11,91.00,91.84,1021320
28-Mar-17,92.06,92.84,91.75,92.14,1282756
27-Mar-17,90.83,92.27,90.01,91.90,1377926
24-Mar-17,91.62,92.48,91.20,91.73,998325
23-Mar-17,91.11,92.08,90.76,91.14,863808
22-Mar-17,90.10,91.53,89.96,91.25,1017097
21-Mar-17,92.72,92.95,89.98,90.12,1345625
20-Mar-17,92.53,93.05,92.15,92.61,1205609
17-Mar-17,92.10,93.00,92.10,92.60,1424846
16-Mar-17,91.50,92.12,90.84,92.07,1475220
15-Mar-17,90.25,91.47,89.79,91.09,1450896
14-Mar-17,89.88,90.52,89.13,90.38,971786
13-Mar-17,89.94,90.64,89.67,89.88,1325329
10-Mar-17,89.56,89.99,89.09,89.90,959790
9-Mar-17,89.29,89.65,88.68,89.33,880014
8-Mar-17,89.22,90.33,88.77,89.74,1027221
7-Mar-17,89.00,90.04,88.96,89.33,1571052
6-Mar-17,89.44,89.69,88.55,88.86,1868520
3-Mar-17,89.84,89.98,89.01,89.69,1837994
2-Mar-17,90.75,90.91,89.68,89.70,1412343
1-Mar-17,90.86,91.36,90.02,90.76,1071168
28-Feb-17,90.23,90.51,89.76,89.89,1273822
27-Feb-17,90.61,90.96,90.12,90.57,624973
24-Feb-17,90.56,91.04,90.10,91.01,600620
23-Feb-17,92.08,92.09,90.67,90.74,681037
22-Feb-17,92.02,92.26,91.26,91.76,1079077
21-Feb-17,91.20,92.35,91.00,92.35,1334215
17-Feb-17,90.58,91.60,90.50,91.22,1300742
16-Feb-17,91.06,91.46,90.50,90.95,916397
15-Feb-17,90.62,91.10,90.37,90.76,948599
14-Feb-17,90.25,90.88,90.10,90.62,922760
13-Feb-17,89.85,90.76,89.63,90.37,1159018
10-Feb-17,90.11,90.49,89.65,89.92,1082660
9-Feb-17,90.00,90.80,89.65,89.99,1090626
8-Feb-17,89.67,89.91,89.21,89.76,1198460
7-Feb-17,89.32,90.32,89.18,89.47,1242940
6-Feb-17,88.80,89.74,88.66,89.37,1091735
3-Feb-17,88.04,89.17,88.00,88.95,1143548
2-Feb-17,87.01,88.47,86.52,88.00,1469945
1-Feb-17,86.65,87.50,86.44,87.19,1995323
31-Jan-17,86.41,87.55,86.07,87.54,1728073
30-Jan-17,87.43,87.50,85.71,87.03,2551791
27-Jan-17,87.55,89.50,86.23,87.16,5697066
26-Jan-17,85.52,85.52,83.66,84.22,2694202
25-Jan-17,84.93,85.23,83.90,84.90,1894745
24-Jan-17,82.55,84.70,82.55,84.62,1978541
23-Jan-17,82.69,82.77,81.26,82.05,1674894
20-Jan-17,83.02,83.82,82.64,82.64,2154377
19-Jan-17,82.70,83.47,82.39,82.69,1348478
18-Jan-17,82.00,82.84,81.43,82.78,1015383
17-Jan-17,82.05,83.12,81.12,81.49,1449633
13-Jan-17,81.54,82.38,81.48,82.01,1116329
12-Jan-17,82.18,82.18,80.90,81.78,1131524
11-Jan-17,81.61,82.26,81.31,82.10,1355009
10-Jan-17,80.95,82.06,80.54,81.48,1131209
9-Jan-17,80.71,80.99,79.48,80.55,2027445
6-Jan-17,79.69,81.55,79.69,81.50,1177856
5-Jan-17,79.29,79.60,78.56,79.46,858409
4-Jan-17,79.18,79.76,78.92,79.49,1227365
3-Jan-17,78.33,79.51,77.94,78.88,1232753
30-Dec-16,79.00,79.39,78.46,78.73,744732
29-Dec-16,79.45,79.65,78.27,79.11,921854
28-Dec-16,80.23,80.89,79.16,79.47,875288
27-Dec-16,80.35,80.68,79.89,80.21,842427
23-Dec-16,79.45,80.20,79.18,80.12,933160
22-Dec-16,81.74,81.74,79.23,79.54,1669989
21-Dec-16,81.77,82.20,81.06,81.91,795466
20-Dec-16,81.66,82.40,81.60,81.86,883094
19-Dec-16,80.82,81.78,80.62,81.38,1026637
16-Dec-16,82.43,82.58,80.42,80.79,3167423
15-Dec-16,80.99,83.00,80.57,82.58,3874086
14-Dec-16,80.01,81.22,79.68,80.92,1786753
13-Dec-16,80.47,81.31,79.94,80.02,920974
12-Dec-16,80.43,80.71,79.59,80.34,1148218
9-Dec-16,81.00,81.34,80.15,80.58,1193653
8-Dec-16,81.16,81.95,80.47,80.75,1593989
7-Dec-16,80.60,81.33,79.78,81.16,1712573
6-Dec-16,80.16,80.72,79.38,80.55,1239426
5-Dec-16,79.00,80.44,78.79,80.21,1289174
2-Dec-16,77.14,79.13,76.81,78.76,1673696
1-Dec-16,81.14,81.43,77.53,78.04,2806942
30-Nov-16,81.61,81.84,81.03,81.14,1341432
29-Nov-16,80.00,81.81,79.58,81.61,2084797
28-Nov-16,79.85,80.39,79.54,79.88,935040
25-Nov-16,79.44,79.96,79.28,79.80,262482
23-Nov-16,80.27,80.69,79.21,79.35,1029297
22-Nov-16,80.40,80.87,79.58,80.19,1104553
21-Nov-16,80.05,80.88,80.04,80.40,1339206
18-Nov-16,80.00,80.34,79.60,80.14,1756710
17-Nov-16,78.59,79.97,78.42,79.97,1855421
16-Nov-16,77.75,78.61,77.72,78.47,1076519
15-Nov-16,76.27,78.32,76.09,78.25,2416134
14-Nov-16,76.50,76.95,74.85,75.82,2226139
11-Nov-16,76.75,76.89,76.14,76.44,1149053
10-Nov-16,77.13,78.52,76.11,76.82,1965896
9-Nov-16,76.46,77.97,76.18,76.97,2051168
8-Nov-16,77.92,78.04,77.29,77.46,1499757
7-Nov-16,77.68,78.53,77.52,77.89,1792667
4-Nov-16,77.38,78.22,76.69,76.79,1907987
3-Nov-16,79.00,79.00,77.57,77.73,1422455
2-Nov-16,77.45,78.66,77.45,78.27,1897011
1-Nov-16,78.90,79.15,77.62,77.97,2450870
31-Oct-16,78.00,78.68,77.86,78.60,3183876
28-Oct-16,75.98,77.87,75.76,77.65,4281471
27-Oct-16,77.12,77.98,75.51,75.77,7117007
26-Oct-16,72.86,73.56,72.80,73.31,2616590
25-Oct-16,74.15,74.15,72.74,73.20,1664586
24-Oct-16,74.26,74.33,73.34,73.97,1721140
21-Oct-16,73.42,73.48,72.65,72.91,1054416
20-Oct-16,73.32,73.83,72.92,73.26,1157031
19-Oct-16,73.09,73.54,72.90,73.49,1011967
18-Oct-16,73.61,73.75,72.66,73.13,907609
17-Oct-16,72.90,73.17,72.48,72.87,958173
14-Oct-16,73.53,73.66,72.92,72.98,1470751
13-Oct-16,72.73,73.34,72.27,73.03,1488839
12-Oct-16,72.79,73.51,72.70,73.21,1697647
11-Oct-16,73.22,73.68,72.34,73.40,1930099
10-Oct-16,74.09,74.29,73.13,73.15,1380585
7-Oct-16,74.30,74.44,73.70,73.99,1866988
6-Oct-16,74.11,74.40,73.62,74.28,2441142
5-Oct-16,72.50,74.66,72.50,74.00,2903663
4-Oct-16,72.88,73.26,72.05,72.45,2331096
3-Oct-16,73.09,73.70,73.09,73.61,1057241
30-Sep-16,73.49,73.70,72.96,73.35,1023306
29-Sep-16,73.81,74.06,72.98,73.08,885374
28-Sep-16,73.79,73.99,73.22,73.85,966811
27-Sep-16,73.18,73.60,73.15,73.60,1317516
26-Sep-16,73.17,73.44,72.93,73.44,1259531
23-Sep-16,73.98,74.00,73.25,73.38,1379724
22-Sep-16,74.00,74.16,73.57,73.81,2085666
21-Sep-16,73.44,73.48,72.81,73.42,2513342
20-Sep-16,73.20,73.50,72.27,73.05,2108848
19-Sep-16,72.65,73.25,72.37,72.68,2034258
16-Sep-16,73.20,73.20,72.32,72.44,3117967
15-Sep-16,73.44,73.61,73.13,73.36,2322757
14-Sep-16,72.83,74.03,72.83,73.30,2901413
13-Sep-16,73.05,73.97,72.64,73.10,3862691
12-Sep-16,72.64,73.89,72.55,73.67,4810923
9-Sep-16,74.03,74.69,72.48,73.08,4356964
8-Sep-16,73.57,74.59,72.98,74.34,5675543
7-Sep-16,73.28,74.49,71.81,72.76,7486471
6-Sep-16,73.78,74.49,71.96,73.39,5544744
2-Sep-16,73.71,73.88,72.75,73.78,3646866
1-Sep-16,73.46,75.33,73.28,73.78,4263031
31-Aug-16,74.00,74.11,72.40,73.33,4017800
30-Aug-16,76.59,76.99,73.99,74.22,4460670
29-Aug-16,73.94,75.57,73.58,75.23,1509100
26-Aug-16,74.71,74.83,73.80,74.25,1595462
25-Aug-16,74.27,75.21,74.00,74.53,1656520
24-Aug-16,74.30,75.42,74.26,74.69,2671814
23-Aug-16,73.17,74.59,72.68,74.56,2506915
22-Aug-16,72.84,73.08,72.20,73.08,2460190
19-Aug-16,71.42,72.97,71.42,72.84,3303248
18-Aug-16,70.64,72.18,70.34,72.05,3728459
17-Aug-16,70.80,71.15,70.32,70.41,1723960
16-Aug-16,71.50,71.61,70.78,70.81,2755843
15-Aug-16,71.14,71.47,70.75,70.87,1448264
