Stock,Date,Open,High,Low,Close,Volume
aep,4-Apr-16,67.07,67.19,66.21,66.58,1793840
aep,5-Apr-16,66.54,66.62,65.36,65.40,2564112
aep,6-Apr-16,65.33,65.69,64.98,65.63,2024227
aep,7-Apr-16,65.47,65.98,65.37,65.50,1518685
aep,8-Apr-16,65.87,66.35,65.74,66.01,2137818
aep,11-Apr-16,66.05,66.47,65.60,65.68,1676259
aep,12-Apr-16,65.75,66.38,65.62,66.31,1773644
aep,13-Apr-16,66.40,66.40,65.41,65.79,1941953
aep,14-Apr-16,65.61,65.98,65.46,65.59,1122251
aep,15-Apr-16,65.78,66.18,65.58,66.05,1958022
aep,18-Apr-16,65.82,66.31,65.49,66.24,1757134
aep,19-Apr-16,66.37,66.43,65.52,65.84,2621224
aep,20-Apr-16,65.86,66.11,63.56,63.70,4649675
aep,21-Apr-16,63.60,63.60,62.01,62.26,4528346
aep,22-Apr-16,62.50,62.99,62.34,62.74,3001839
aep,25-Apr-16,62.68,62.84,62.46,62.81,2361745
aep,26-Apr-16,62.92,63.25,62.73,62.90,1977346
aep,27-Apr-16,63.00,64.42,62.90,63.93,3209145
aep,28-Apr-16,61.85,63.41,61.42,63.06,5010098
aep,29-Apr-16,62.73,63.63,62.09,63.50,2989817
aep,2-May-16,63.60,64.42,63.41,64.36,5027777
aep,3-May-16,64.32,64.70,64.07,64.50,4462822
aep,4-May-16,64.38,65.71,64.17,65.39,3533731
aep,5-May-16,65.19,65.96,64.78,65.15,2815491
aep,6-May-16,64.59,64.78,63.65,64.56,3187069
aep,9-May-16,64.62,65.38,64.32,65.29,3932929
aep,10-May-16,65.54,65.56,64.92,65.05,2538325
aep,11-May-16,65.05,65.34,64.53,65.21,2095843
aep,12-May-16,65.12,65.85,64.78,65.66,2145912
aep,13-May-16,65.57,65.80,64.92,65.61,2709212
aep,16-May-16,65.43,65.97,65.02,65.93,2340531
aep,17-May-16,65.87,65.89,64.18,64.51,3411483
aep,18-May-16,64.03,64.52,62.97,63.30,4394442
aep,19-May-16,63.18,63.87,62.61,63.85,2869173
aep,20-May-16,64.05,64.10,63.35,63.80,2226237
aep,23-May-16,63.80,63.87,62.91,62.95,2521134
aep,24-May-16,63.25,63.80,63.04,63.63,2287852
aep,25-May-16,63.29,63.78,63.00,63.43,2407687
aep,26-May-16,63.33,64.38,63.32,64.33,3277293
aep,27-May-16,64.26,64.57,63.86,64.31,2135106
aep,31-May-16,64.22,64.84,64.03,64.73,3362423
aep,1-Jun-16,64.74,65.04,64.52,64.89,1938589
aep,2-Jun-16,64.69,64.84,64.04,64.68,1948908
aep,3-Jun-16,65.20,66.22,65.20,65.81,2307491
aep,6-Jun-16,65.93,66.06,65.45,65.70,1960499
aep,7-Jun-16,65.95,66.22,65.67,65.84,2182122
aep,8-Jun-16,65.75,66.20,65.68,66.20,1555708
aep,9-Jun-16,66.21,67.01,66.11,66.96,1803086
aep,10-Jun-16,66.88,67.34,66.55,66.85,1768758
aep,13-Jun-16,66.92,67.20,66.48,66.55,2802353
aep,14-Jun-16,66.55,66.83,66.09,66.83,2090380
aep,15-Jun-16,66.91,67.00,65.95,66.24,2131198
aep,16-Jun-16,66.37,67.04,66.25,66.88,2217568
aep,17-Jun-16,67.03,67.28,66.47,67.21,2620759
aep,20-Jun-16,67.11,67.28,66.34,66.79,2036738
aep,21-Jun-16,66.93,67.15,66.40,66.77,1383668
aep,22-Jun-16,66.90,66.96,66.42,66.50,1458274
aep,23-Jun-16,66.61,66.63,66.10,66.59,1830959
aep,24-Jun-16,65.92,67.94,65.84,67.26,4034594
aep,27-Jun-16,67.17,68.52,67.04,68.35,3506723
aep,28-Jun-16,68.27,68.65,67.50,68.64,2394336
aep,29-Jun-16,68.90,69.08,68.32,68.72,2522403
aep,30-Jun-16,68.82,70.10,68.58,70.09,2858386
aep,1-Jul-16,70.46,70.49,69.45,70.14,2113614
aep,5-Jul-16,70.29,70.92,70.15,70.81,1935179
aep,6-Jul-16,70.81,71.32,70.43,71.27,2990387
aep,7-Jul-16,70.96,70.98,70.12,70.28,2989803
aep,8-Jul-16,70.02,70.81,69.45,70.71,2690534
aep,11-Jul-16,70.43,70.76,69.68,70.70,2065126
aep,12-Jul-16,70.25,70.42,69.51,69.58,2866106
aep,13-Jul-16,69.92,70.14,69.63,70.01,2007135
aep,14-Jul-16,69.46,69.90,69.15,69.38,2473277
aep,15-Jul-16,69.44,69.74,69.17,69.64,2264316
aep,18-Jul-16,69.73,70.12,69.68,69.95,1581401
aep,19-Jul-16,70.00,70.10,69.32,69.77,1821588
aep,20-Jul-16,69.80,69.87,69.21,69.35,1458523
aep,21-Jul-16,69.18,69.45,68.70,69.43,3198286
aep,22-Jul-16,69.47,70.25,69.16,70.06,2452846
