Date,Open,High,Low,Close,Volume
31-Mar-17,20.68,20.81,20.65,20.73,425020
30-Mar-17,20.66,20.78,20.64,20.71,332872
29-Mar-17,20.74,20.82,20.64,20.80,581213
28-Mar-17,20.96,20.96,20.81,20.90,442629
27-Mar-17,21.08,21.27,21.03,21.24,953665
24-Mar-17,21.03,21.09,20.77,21.05,991696
23-Mar-17,21.54,21.59,21.27,21.35,1257969
22-Mar-17,20.85,20.92,20.78,20.85,1091039
21-Mar-17,20.29,20.34,20.17,20.20,913851
20-Mar-17,20.13,20.53,20.11,20.19,1654519
17-Mar-17,19.50,19.78,19.47,19.77,5890736
16-Mar-17,19.23,19.23,19.09,19.13,542438
15-Mar-17,18.68,19.07,18.66,19.02,728818
14-Mar-17,18.59,18.61,18.41,18.42,600585
13-Mar-17,18.44,18.72,18.44,18.72,700405
10-Mar-17,17.89,18.04,17.86,18.02,411304
9-Mar-17,17.91,17.92,17.71,17.80,515343
8-Mar-17,18.04,18.04,17.82,17.90,760638
7-Mar-17,18.18,18.22,18.02,18.15,658245
6-Mar-17,18.41,18.43,18.02,18.13,1117574
3-Mar-17,18.44,18.68,18.42,18.67,736827
2-Mar-17,18.70,18.78,18.36,18.40,795806
1-Mar-17,18.90,18.98,18.76,18.84,507095
28-Feb-17,19.10,19.19,18.87,18.98,583610
27-Feb-17,19.32,19.36,19.13,19.20,698769
24-Feb-17,19.19,19.22,19.02,19.06,709566
23-Feb-17,18.97,19.19,18.97,19.12,626921
22-Feb-17,18.97,19.01,18.67,18.71,598006
21-Feb-17,18.59,19.06,18.52,19.00,1022940
17-Feb-17,17.75,17.83,17.61,17.81,858459
16-Feb-17,17.65,17.97,17.65,17.79,671022
15-Feb-17,17.77,17.81,17.67,17.79,745324
14-Feb-17,17.94,18.00,17.76,17.86,542810
13-Feb-17,18.01,18.14,17.85,17.90,1122099
10-Feb-17,17.76,18.02,17.76,18.00,553761
9-Feb-17,17.58,17.61,17.40,17.53,994967
8-Feb-17,17.70,17.71,17.36,17.58,820065
7-Feb-17,18.03,18.03,17.64,17.72,782938
6-Feb-17,18.24,18.25,17.96,17.97,410578
3-Feb-17,18.28,18.42,18.17,18.29,857828
2-Feb-17,18.30,18.46,18.29,18.36,346361
1-Feb-17,18.29,18.31,18.04,18.21,652413
31-Jan-17,18.29,18.40,18.20,18.34,429532
30-Jan-17,18.18,18.24,18.01,18.24,442293
27-Jan-17,18.35,18.40,18.02,18.10,464255
26-Jan-17,18.41,18.55,18.25,18.36,700488
25-Jan-17,18.61,18.62,18.32,18.39,669152
24-Jan-17,18.61,18.69,18.48,18.58,769090
23-Jan-17,18.37,18.39,18.13,18.29,474019
20-Jan-17,18.29,18.41,18.12,18.29,440318
19-Jan-17,18.36,18.36,18.10,18.20,464935
18-Jan-17,18.54,18.72,18.30,18.35,400189
17-Jan-17,18.89,18.94,18.77,18.80,672337
13-Jan-17,18.83,18.91,18.68,18.74,797520
12-Jan-17,18.59,18.60,18.34,18.43,524925
11-Jan-17,18.09,18.36,18.02,18.27,964122
10-Jan-17,17.77,18.02,17.73,17.93,1475190
9-Jan-17,18.20,18.20,17.80,17.81,1384380
6-Jan-17,18.55,18.61,18.32,18.47,1041973
5-Jan-17,18.57,18.89,18.55,18.78,560318
4-Jan-17,18.41,18.46,18.22,18.38,1205503
3-Jan-17,18.52,18.65,18.32,18.64,1049897
30-Dec-16,18.51,18.65,18.45,18.48,662350
29-Dec-16,18.41,18.68,18.41,18.63,417359
28-Dec-16,18.85,18.85,18.44,18.50,1444844
27-Dec-16,19.29,19.48,19.15,19.25,576857
23-Dec-16,19.25,19.25,19.02,19.22,453960
22-Dec-16,19.02,19.19,18.98,19.04,729945
21-Dec-16,19.30,19.45,19.11,19.16,475571
20-Dec-16,19.23,19.50,19.23,19.44,1490243
19-Dec-16,19.42,19.45,19.22,19.26,597936
16-Dec-16,19.48,19.52,19.42,19.49,591212
15-Dec-16,19.48,19.57,19.28,19.50,517096
14-Dec-16,19.88,20.00,19.41,19.42,876140
13-Dec-16,19.60,19.67,19.32,19.42,1228711
12-Dec-16,19.64,19.70,19.51,19.69,612295
9-Dec-16,19.60,19.85,19.58,19.72,569253
8-Dec-16,19.17,19.30,19.13,19.26,1374476
7-Dec-16,19.00,19.29,18.92,19.26,959384
6-Dec-16,18.91,19.16,18.91,19.15,1121017
5-Dec-16,18.63,18.79,18.40,18.76,900913
2-Dec-16,18.65,18.81,18.58,18.62,757000
1-Dec-16,19.28,19.28,18.90,18.91,733008
30-Nov-16,20.08,20.08,19.79,19.79,804394
29-Nov-16,20.27,20.32,20.12,20.24,535750
28-Nov-16,20.30,20.54,20.29,20.42,555437
25-Nov-16,20.22,20.26,20.10,20.26,305005
23-Nov-16,20.16,20.27,20.01,20.06,689877
22-Nov-16,20.08,20.29,19.93,20.25,1077102
21-Nov-16,20.18,20.32,20.05,20.28,571130
18-Nov-16,19.93,19.97,19.80,19.82,600482
17-Nov-16,20.16,20.16,19.97,19.98,637217
16-Nov-16,20.25,20.36,20.16,20.34,539809
15-Nov-16,20.47,20.56,20.27,20.47,751058
14-Nov-16,19.64,19.76,19.52,19.69,816285
11-Nov-16,19.82,19.90,19.66,19.81,677254
10-Nov-16,20.14,20.18,19.78,20.05,921320
9-Nov-16,20.13,20.41,20.11,20.26,951660
8-Nov-16,20.55,20.75,20.46,20.67,583365
7-Nov-16,20.13,20.52,20.00,20.52,1170498
4-Nov-16,20.94,20.98,20.51,20.51,863199
3-Nov-16,21.46,21.70,21.38,21.54,960223
2-Nov-16,21.44,21.56,21.29,21.54,679275
1-Nov-16,21.78,21.83,21.50,21.54,842543
31-Oct-16,21.75,21.89,21.63,21.81,573029
28-Oct-16,21.85,21.85,21.64,21.80,754123
27-Oct-16,22.52,22.52,22.09,22.16,419435
26-Oct-16,22.56,22.57,22.30,22.40,865179
25-Oct-16,22.25,22.60,22.13,22.55,744982
24-Oct-16,22.65,22.69,22.43,22.50,498742
21-Oct-16,23.00,23.03,22.76,22.88,614346
20-Oct-16,23.18,23.22,23.06,23.12,548636
19-Oct-16,23.25,23.33,23.13,23.25,240036
18-Oct-16,23.49,23.50,23.24,23.43,255888
17-Oct-16,23.29,23.38,23.11,23.27,501555
14-Oct-16,22.93,23.00,22.70,22.70,363733
13-Oct-16,22.53,22.74,22.39,22.66,651714
12-Oct-16,22.65,22.79,22.50,22.72,521916
11-Oct-16,22.74,22.99,22.70,22.87,632166
10-Oct-16,22.93,23.10,22.84,23.10,524812
7-Oct-16,23.34,23.34,23.12,23.17,492013
6-Oct-16,23.75,23.75,23.23,23.35,534218
5-Oct-16,24.09,24.12,23.80,23.89,426824
4-Oct-16,24.41,24.42,23.99,24.09,433691
3-Oct-16,24.44,24.48,24.01,24.34,879258
30-Sep-16,24.89,24.89,24.35,24.38,947370
29-Sep-16,25.64,25.65,25.16,25.18,628332
28-Sep-16,26.25,26.35,26.09,26.16,365559
27-Sep-16,26.56,26.63,26.40,26.50,323944
26-Sep-16,26.67,26.67,26.29,26.35,299888
23-Sep-16,27.04,27.12,26.94,27.06,452865
22-Sep-16,26.99,27.10,26.91,27.04,313479
21-Sep-16,26.37,26.90,26.37,26.89,256465
20-Sep-16,26.03,26.17,25.98,26.16,281129
19-Sep-16,25.73,25.80,25.64,25.75,226118
16-Sep-16,25.57,25.57,25.23,25.42,233588
15-Sep-16,25.53,25.59,25.42,25.52,201984
14-Sep-16,25.55,25.67,25.41,25.52,241376
13-Sep-16,26.01,26.01,25.34,25.43,571199
12-Sep-16,26.55,26.81,26.18,26.64,612517
9-Sep-16,26.89,26.91,26.26,26.27,575504
8-Sep-16,26.82,26.85,26.54,26.70,408085
7-Sep-16,26.68,26.81,26.58,26.71,293073
6-Sep-16,26.01,26.37,25.99,26.37,289579
2-Sep-16,25.78,25.91,25.55,25.87,452275
1-Sep-16,25.77,25.77,25.62,25.76,218326
31-Aug-16,25.79,25.90,25.72,25.86,259790
30-Aug-16,25.94,25.94,25.58,25.60,262201
29-Aug-16,25.87,26.06,25.87,26.00,374445
26-Aug-16,26.35,26.49,25.92,25.98,532021
25-Aug-16,26.06,26.21,25.99,26.11,335653
24-Aug-16,25.61,25.72,25.51,25.68,238990
23-Aug-16,25.74,25.80,25.51,25.53,449511
22-Aug-16,25.70,25.70,25.56,25.64,465635
19-Aug-16,26.02,26.02,25.62,25.72,504170
18-Aug-16,26.41,26.58,26.30,26.58,479301
17-Aug-16,26.26,26.52,26.15,26.51,521795
16-Aug-16,26.80,26.85,26.59,26.62,333261
15-Aug-16,26.76,26.86,26.67,26.69,338193
12-Aug-16,27.06,27.10,26.74,26.76,642632
11-Aug-16,27.80,27.80,27.55,27.75,359172
10-Aug-16,28.11,28.37,28.11,28.31,535605
9-Aug-16,27.56,27.70,27.51,27.67,229916
8-Aug-16,27.47,27.56,27.34,27.41,301572
5-Aug-16,27.23,27.46,27.20,27.46,412958
4-Aug-16,27.48,27.50,27.16,27.41,448666
3-Aug-16,27.97,28.09,27.82,27.91,673086
2-Aug-16,27.98,28.08,27.75,27.80,888940
1-Aug-16,27.33,27.47,27.26,27.37,435569
29-Jul-16,27.07,27.26,27.06,27.19,559718
28-Jul-16,27.12,27.13,26.99,27.06,625329
27-Jul-16,27.00,27.11,26.62,26.86,598895
26-Jul-16,27.19,27.34,26.75,26.95,596666
25-Jul-16,26.93,26.98,26.52,26.57,418821
22-Jul-16,26.75,26.84,26.59,26.65,345303
21-Jul-16,26.68,26.68,26.50,26.67,348114
20-Jul-16,26.57,26.66,26.21,26.25,493890
19-Jul-16,26.54,26.58,26.38,26.57,268674
18-Jul-16,26.49,26.68,26.46,26.54,335556
15-Jul-16,26.45,26.58,26.19,26.25,395190
14-Jul-16,26.26,26.38,26.22,26.27,280711
13-Jul-16,26.13,26.22,25.91,26.19,360963
12-Jul-16,26.23,26.25,26.04,26.07,507530
11-Jul-16,26.07,26.45,26.07,26.44,396275
8-Jul-16,25.83,25.95,25.65,25.94,272358
7-Jul-16,25.60,25.63,25.27,25.33,376169
6-Jul-16,25.56,25.63,25.36,25.55,343851
5-Jul-16,25.59,25.84,25.54,25.79,463690
1-Jul-16,25.90,26.04,25.66,26.04,592862
30-Jun-16,25.95,25.95,25.72,25.93,779090
29-Jun-16,25.75,25.95,25.75,25.88,361665
28-Jun-16,25.46,25.56,25.26,25.45,644526
27-Jun-16,24.78,24.88,24.62,24.82,549674
24-Jun-16,24.61,25.07,24.59,24.82,770622
23-Jun-16,25.58,25.67,25.50,25.66,249115
22-Jun-16,25.06,25.68,25.06,25.55,423485
21-Jun-16,25.38,25.38,24.93,25.14,660794
20-Jun-16,25.69,25.72,25.55,25.55,590926
17-Jun-16,24.96,25.03,24.81,25.00,391884
16-Jun-16,24.89,24.97,24.80,24.94,339363
15-Jun-16,24.68,24.96,24.64,24.85,480324
14-Jun-16,25.45,25.45,25.10,25.16,405420
13-Jun-16,25.78,25.80,25.44,25.50,527085
10-Jun-16,26.46,26.59,26.22,26.27,567092
9-Jun-16,26.28,26.39,26.18,26.22,326836
8-Jun-16,26.35,26.35,26.21,26.30,183232
7-Jun-16,26.00,26.14,25.93,26.10,404870
6-Jun-16,25.86,26.07,25.86,25.93,185371
3-Jun-16,25.63,26.00,25.61,25.86,390242
2-Jun-16,25.32,25.39,25.19,25.36,363078
1-Jun-16,25.50,25.67,25.36,25.37,665190
31-May-16,26.50,26.54,26.33,26.41,358560
27-May-16,26.44,26.51,26.34,26.35,249330
26-May-16,26.31,26.48,26.20,26.36,392315
25-May-16,25.79,26.18,25.79,26.15,429457
24-May-16,25.31,25.58,25.28,25.51,381857
23-May-16,25.31,25.41,25.24,25.24,469144
20-May-16,25.41,25.49,25.26,25.27,330967
19-May-16,25.48,25.56,25.32,25.54,265165
18-May-16,25.62,25.74,25.32,25.36,779301
17-May-16,25.88,25.94,25.74,25.79,526962
16-May-16,25.75,25.95,25.34,25.94,738004
13-May-16,26.18,26.27,25.99,26.01,197569
12-May-16,26.29,26.43,26.16,26.31,342587
11-May-16,26.29,26.31,26.13,26.24,257776
10-May-16,26.30,26.42,26.12,26.29,557051
9-May-16,26.65,26.83,26.63,26.74,832050
6-May-16,26.16,26.33,26.08,26.24,405300
5-May-16,26.41,26.48,26.28,26.33,611138
4-May-16,26.26,26.53,26.21,26.48,488150
3-May-16,26.71,26.82,26.52,26.54,477915
2-May-16,26.95,27.10,26.59,26.87,246662
29-Apr-16,26.75,26.91,26.61,26.90,374874
28-Apr-16,26.62,26.93,26.54,26.77,637487
27-Apr-16,26.79,26.91,26.42,26.65,773326
26-Apr-16,26.57,26.63,26.45,26.56,559819
25-Apr-16,25.81,25.87,25.65,25.80,256327
22-Apr-16,25.80,25.88,25.70,25.88,377692
21-Apr-16,25.86,25.97,25.58,25.82,315040
20-Apr-16,26.30,26.30,25.86,25.97,536401
19-Apr-16,26.08,26.39,25.93,26.39,435316
18-Apr-16,25.56,25.79,25.47,25.70,233037
15-Apr-16,25.62,25.84,25.59,25.83,336140
14-Apr-16,25.66,25.71,25.50,25.53,376374
13-Apr-16,25.70,25.80,25.67,25.79,205210
12-Apr-16,25.44,25.74,25.39,25.71,211112
11-Apr-16,25.33,25.59,25.17,25.46,318769
8-Apr-16,25.30,25.42,25.07,25.09,633894
7-Apr-16,25.03,25.36,25.03,25.14,1063007
6-Apr-16,24.82,25.03,24.60,24.67,824119
5-Apr-16,25.00,25.07,24.73,24.77,580468
4-Apr-16,25.52,25.53,25.17,25.19,384002
