Date,Open,High,Low,Close,Volume
31-Mar-17,63.45,63.72,63.28,63.48,551484
30-Mar-17,62.97,63.04,62.61,62.79,302523
29-Mar-17,62.66,63.25,62.61,63.19,326012
28-Mar-17,63.61,63.84,63.08,63.27,365177
27-Mar-17,64.09,64.22,63.65,63.90,500392
24-Mar-17,63.48,63.73,63.28,63.54,782497
23-Mar-17,62.79,63.35,62.79,63.12,1980598
22-Mar-17,62.59,62.96,62.27,62.81,700038
21-Mar-17,62.00,63.00,61.91,62.75,1438760
20-Mar-17,61.58,61.68,61.20,61.47,656837
17-Mar-17,60.82,61.81,60.77,61.54,1358615
16-Mar-17,60.90,61.11,60.68,60.76,598445
15-Mar-17,60.00,60.76,59.88,60.52,689616
14-Mar-17,60.21,60.37,60.05,60.11,283891
13-Mar-17,60.02,60.35,59.94,60.16,622754
10-Mar-17,59.91,60.15,59.75,59.99,887575
9-Mar-17,59.53,59.93,59.53,59.66,563708
8-Mar-17,59.44,59.61,59.24,59.52,631661
7-Mar-17,59.46,60.03,59.45,59.91,756091
6-Mar-17,60.04,60.16,59.87,60.00,307953
3-Mar-17,59.71,60.35,59.50,60.23,630915
2-Mar-17,60.00,60.77,59.95,60.60,471465
1-Mar-17,59.88,60.35,59.83,60.01,759404
28-Feb-17,60.58,61.05,60.56,60.85,405595
27-Feb-17,60.69,61.07,60.52,60.86,381089
24-Feb-17,60.97,61.22,60.82,61.09,438076
23-Feb-17,60.70,61.13,60.68,60.95,453213
22-Feb-17,60.59,60.92,60.24,60.54,469015
21-Feb-17,59.94,60.65,59.84,60.62,516661
17-Feb-17,60.00,60.05,59.57,59.89,435702
16-Feb-17,59.50,59.97,59.50,59.94,340976
15-Feb-17,59.01,59.60,58.95,59.60,516356
14-Feb-17,60.12,60.14,59.45,59.75,517963
13-Feb-17,59.90,59.95,59.65,59.89,588087
10-Feb-17,59.57,59.96,59.57,59.88,405257
9-Feb-17,60.73,60.76,59.72,59.87,977029
8-Feb-17,59.95,60.33,59.66,59.85,976806
7-Feb-17,58.33,59.08,58.19,58.92,739431
6-Feb-17,58.23,58.32,58.06,58.14,602301
3-Feb-17,58.08,58.27,57.87,58.01,438655
2-Feb-17,57.89,58.12,57.81,58.03,523705
1-Feb-17,58.05,58.37,57.65,58.03,868467
31-Jan-17,58.03,58.59,57.97,58.47,923097
30-Jan-17,57.56,57.83,57.51,57.61,727809
27-Jan-17,58.01,58.10,57.82,57.88,466643
26-Jan-17,57.83,57.93,57.51,57.87,1996480
25-Jan-17,58.72,58.74,58.29,58.40,464449
24-Jan-17,58.44,58.79,58.42,58.53,711772
23-Jan-17,58.45,58.77,58.37,58.72,501170
20-Jan-17,57.95,58.47,57.89,58.33,668696
19-Jan-17,57.85,58.11,57.70,57.83,562675
18-Jan-17,58.50,58.74,58.26,58.30,549842
17-Jan-17,59.17,59.54,59.09,59.39,951473
13-Jan-17,58.29,58.62,58.02,58.59,904921
12-Jan-17,58.47,58.53,58.03,58.23,846364
11-Jan-17,56.65,57.51,56.54,57.33,886111
10-Jan-17,57.12,57.26,56.72,56.84,934201
9-Jan-17,58.06,58.19,57.63,57.65,950100
6-Jan-17,57.94,58.39,57.93,58.34,1201922
5-Jan-17,57.68,58.66,57.67,58.45,1141612
4-Jan-17,57.38,57.72,57.33,57.60,1241650
3-Jan-17,58.11,58.24,57.62,57.68,1863258
30-Dec-16,58.77,59.05,58.24,58.33,775526
29-Dec-16,58.00,58.67,57.94,58.66,494806
28-Dec-16,58.15,58.23,57.79,57.82,487658
27-Dec-16,58.02,58.34,58.02,58.16,403661
23-Dec-16,58.60,58.60,58.05,58.20,513211
22-Dec-16,57.80,58.09,57.72,57.84,570950
21-Dec-16,58.05,58.39,57.90,57.90,522942
20-Dec-16,58.09,58.43,58.01,58.22,917148
19-Dec-16,58.52,58.86,58.30,58.65,646614
16-Dec-16,57.90,58.80,57.84,58.39,575037
15-Dec-16,57.91,58.05,57.60,57.85,676090
14-Dec-16,59.32,59.40,57.91,57.97,725194
13-Dec-16,59.06,59.17,58.77,59.06,721097
12-Dec-16,57.98,59.08,57.95,58.84,859479
9-Dec-16,58.28,58.71,58.19,58.71,592189
8-Dec-16,58.06,58.13,57.63,58.01,648423
7-Dec-16,57.26,57.84,57.24,57.73,564891
6-Dec-16,57.32,57.70,57.20,57.28,547841
5-Dec-16,57.11,57.41,56.78,57.30,577013
2-Dec-16,57.62,57.97,57.26,57.57,926877
1-Dec-16,57.00,57.23,56.50,56.66,938478
30-Nov-16,58.12,58.14,57.05,57.07,777350
29-Nov-16,58.25,58.48,58.17,58.33,799665
28-Nov-16,58.57,58.64,58.19,58.35,491362
25-Nov-16,58.13,58.27,57.84,57.99,311070
23-Nov-16,57.52,57.82,57.29,57.36,688976
22-Nov-16,58.01,58.33,57.97,58.24,551442
21-Nov-16,58.51,59.07,58.30,59.05,590622
18-Nov-16,58.04,58.29,57.89,58.00,710775
17-Nov-16,58.77,59.05,58.46,58.61,567475
16-Nov-16,58.16,58.63,58.12,58.60,1115452
15-Nov-16,58.36,58.96,58.17,58.86,783638
14-Nov-16,58.60,58.61,57.94,58.13,1405026
11-Nov-16,61.18,61.29,60.34,60.41,966291
10-Nov-16,59.96,60.39,58.07,60.09,1876133
9-Nov-16,63.24,63.64,62.76,63.05,603234
8-Nov-16,63.38,64.31,63.38,64.10,527828
7-Nov-16,63.27,63.73,62.64,63.71,849651
4-Nov-16,64.52,64.65,63.79,63.80,467523
3-Nov-16,63.81,64.32,63.71,64.11,412441
2-Nov-16,64.47,64.50,63.67,63.78,449164
1-Nov-16,65.25,65.28,64.47,64.53,400570
31-Oct-16,64.85,65.61,64.74,65.42,416255
28-Oct-16,64.53,64.92,64.44,64.66,347399
27-Oct-16,64.96,65.12,64.33,64.85,1138107
26-Oct-16,64.45,64.73,64.23,64.65,352140
25-Oct-16,64.30,64.72,64.13,64.70,586456
24-Oct-16,64.91,65.05,64.13,64.44,445988
21-Oct-16,65.08,65.39,65.00,65.36,672195
20-Oct-16,65.10,65.86,65.09,65.41,637376
19-Oct-16,65.50,65.98,65.40,65.55,375812
18-Oct-16,65.84,65.88,65.24,65.48,535364
17-Oct-16,64.67,65.17,64.64,64.84,415225
14-Oct-16,65.47,65.50,64.92,65.03,901349
13-Oct-16,64.73,65.36,64.62,65.05,1091256
12-Oct-16,64.34,64.91,64.25,64.72,1341074
11-Oct-16,65.57,65.63,64.25,64.35,735330
10-Oct-16,65.06,65.44,64.90,65.39,1797845
7-Oct-16,65.28,65.75,65.12,65.28,1634152
6-Oct-16,67.65,68.00,67.46,67.63,1008071
5-Oct-16,69.19,69.27,68.51,68.97,561349
4-Oct-16,71.28,71.43,69.60,69.90,549943
3-Oct-16,71.10,71.19,70.73,71.08,533143
30-Sep-16,71.80,71.92,70.93,71.11,439819
29-Sep-16,72.85,72.88,71.62,71.78,524810
28-Sep-16,71.90,71.95,71.50,71.87,461385
27-Sep-16,71.47,71.96,71.40,71.49,659666
26-Sep-16,70.97,71.11,70.78,70.97,358299
23-Sep-16,70.05,70.90,70.01,70.53,489161
22-Sep-16,71.79,72.01,71.37,71.66,377872
21-Sep-16,69.63,70.60,69.20,70.57,758080
20-Sep-16,70.18,70.72,70.12,70.31,675450
19-Sep-16,70.57,70.66,70.17,70.42,416144
16-Sep-16,69.26,69.69,69.12,69.58,474781
15-Sep-16,69.62,69.88,69.28,69.82,492192
14-Sep-16,69.72,69.84,69.14,69.41,423569
13-Sep-16,69.59,69.86,69.05,69.21,594115
12-Sep-16,69.96,70.80,69.76,70.67,491108
9-Sep-16,71.02,71.05,69.75,69.80,481453
8-Sep-16,71.46,72.05,71.32,71.77,506905
7-Sep-16,71.50,71.84,71.42,71.67,348116
6-Sep-16,72.05,72.49,71.77,72.14,489422
2-Sep-16,71.53,71.80,70.98,71.65,720638
1-Sep-16,70.14,70.14,69.64,69.85,391815
31-Aug-16,69.49,69.65,69.14,69.49,392430
30-Aug-16,70.02,70.18,69.38,69.44,429497
29-Aug-16,70.03,70.62,70.00,70.56,255633
26-Aug-16,71.56,72.04,70.13,70.19,418510
25-Aug-16,71.34,71.54,71.20,71.38,228494
24-Aug-16,71.25,71.31,70.76,71.09,433832
23-Aug-16,71.78,71.88,71.29,71.30,251974
22-Aug-16,71.34,71.90,71.28,71.58,338786
19-Aug-16,71.37,71.42,70.92,71.24,502247
18-Aug-16,71.74,72.00,71.62,72.00,375794
17-Aug-16,70.88,71.28,70.23,71.08,479940
16-Aug-16,71.49,71.60,70.87,70.90,399871
15-Aug-16,71.44,71.76,71.23,71.26,405723
12-Aug-16,72.08,72.13,71.45,71.49,345913
11-Aug-16,71.78,71.87,71.50,71.61,529758
10-Aug-16,70.65,71.12,70.65,71.12,691391
9-Aug-16,70.70,71.12,70.66,70.77,366799
8-Aug-16,70.15,70.95,70.13,70.79,541206
5-Aug-16,71.12,71.64,70.47,70.80,1154871
4-Aug-16,71.95,72.10,71.32,71.74,1519162
3-Aug-16,71.61,71.94,71.51,71.75,628121
2-Aug-16,72.48,72.72,72.23,72.72,311032
1-Aug-16,72.69,72.93,72.47,72.62,302546
29-Jul-16,71.82,72.92,71.75,72.45,486833
28-Jul-16,73.55,73.59,73.08,73.33,252418
27-Jul-16,72.93,73.28,72.54,73.05,308685
26-Jul-16,73.99,74.15,73.38,73.62,297506
25-Jul-16,73.27,73.95,73.16,73.74,526249
22-Jul-16,72.58,73.03,72.52,72.96,557574
21-Jul-16,72.78,73.23,72.70,73.16,274110
20-Jul-16,73.13,73.26,72.93,73.02,390382
19-Jul-16,72.78,72.84,72.41,72.57,363921
18-Jul-16,73.41,73.69,73.18,73.25,431616
15-Jul-16,73.18,73.33,72.46,72.95,361948
14-Jul-16,73.60,73.66,73.00,73.22,367439
13-Jul-16,73.63,74.26,73.41,73.63,492876
12-Jul-16,73.41,73.49,72.91,72.92,367278
11-Jul-16,73.12,73.68,72.94,73.55,498479
8-Jul-16,72.57,73.14,72.12,73.05,413601
7-Jul-16,73.05,73.15,72.10,72.18,527937
6-Jul-16,73.17,73.79,72.55,73.66,650591
5-Jul-16,74.93,74.97,74.26,74.48,541281
1-Jul-16,74.29,74.53,73.76,74.36,642330
30-Jun-16,73.01,74.36,72.75,74.33,887773
29-Jun-16,71.49,72.63,71.26,72.19,993922
28-Jun-16,69.95,69.95,68.92,69.84,737880
27-Jun-16,67.31,67.70,66.52,67.65,1076665
24-Jun-16,67.99,69.31,67.96,68.26,2060860
23-Jun-16,73.74,73.80,72.64,73.53,360385
22-Jun-16,73.03,73.72,72.87,72.90,554934
21-Jun-16,72.50,73.29,72.20,72.89,581214
20-Jun-16,72.58,72.63,71.87,71.88,973772
17-Jun-16,69.53,70.13,69.06,70.13,563792
16-Jun-16,68.50,69.59,68.09,69.55,561598
15-Jun-16,69.40,69.60,68.95,69.11,462114
14-Jun-16,69.37,69.48,68.70,68.99,748559
13-Jun-16,69.93,70.60,69.90,70.30,591779
10-Jun-16,71.09,71.33,70.47,70.73,863843
