Date,Open,High,Low,Close,Volume
31-Mar-17,66.34,66.80,66.34,66.36,1951255
30-Mar-17,66.35,66.53,66.01,66.36,1536686
29-Mar-17,66.83,66.87,66.53,66.63,1363866
28-Mar-17,67.23,67.40,66.94,67.34,2690509
27-Mar-17,67.99,68.17,66.94,67.19,3474676
24-Mar-17,67.42,68.29,67.39,67.86,2590564
23-Mar-17,67.72,68.16,67.34,67.54,1898107
22-Mar-17,67.55,68.25,67.26,67.46,2218955
21-Mar-17,66.24,67.45,66.21,67.31,2682342
20-Mar-17,66.59,66.91,65.99,66.16,1660964
17-Mar-17,66.22,66.98,66.12,66.59,3267218
16-Mar-17,66.65,66.65,65.85,66.02,2504070
15-Mar-17,65.85,67.13,65.78,66.87,2241926
14-Mar-17,65.68,65.90,65.31,65.67,1603214
13-Mar-17,65.57,65.82,65.27,65.75,1900282
10-Mar-17,65.52,65.85,65.20,65.63,2349239
9-Mar-17,65.20,65.57,65.11,65.13,1655130
8-Mar-17,65.58,65.62,65.02,65.16,2430824
7-Mar-17,65.68,66.40,65.64,66.26,1961867
6-Mar-17,65.87,66.10,65.65,65.76,2808061
3-Mar-17,66.26,66.26,65.43,66.07,2771919
2-Mar-17,65.74,66.70,65.60,66.18,2765571
1-Mar-17,65.99,66.58,65.63,65.85,3499729
28-Feb-17,66.24,66.93,66.02,66.75,2404110
27-Feb-17,66.35,66.37,65.90,66.12,1402926
24-Feb-17,65.70,66.35,65.55,66.33,2748855
23-Feb-17,64.99,65.56,64.87,65.41,2069229
22-Feb-17,64.70,64.93,64.35,64.76,1805367
21-Feb-17,63.92,64.79,63.60,64.64,1829562
17-Feb-17,63.62,64.20,63.54,63.92,2501732
16-Feb-17,63.75,63.95,63.01,63.39,2473145
15-Feb-17,62.85,63.21,62.30,62.94,1898932
14-Feb-17,63.55,63.80,62.93,63.32,2012068
13-Feb-17,63.27,63.75,63.10,63.69,2034893
10-Feb-17,62.55,63.50,62.42,63.35,1329537
9-Feb-17,63.00,63.40,62.71,62.89,1802557
8-Feb-17,62.51,63.62,62.44,63.17,2835309
7-Feb-17,61.72,61.95,61.54,61.83,908102
6-Feb-17,61.66,61.92,61.45,61.63,993048
3-Feb-17,61.84,62.07,61.41,61.59,1907606
2-Feb-17,61.18,62.00,60.99,61.95,1990851
1-Feb-17,61.39,61.55,60.61,60.89,1787837
31-Jan-17,60.74,61.91,60.56,61.89,2618510
30-Jan-17,60.84,60.92,60.17,60.58,1538834
27-Jan-17,60.96,61.02,60.57,60.62,1375692
26-Jan-17,60.79,61.30,60.56,60.76,1570361
25-Jan-17,60.60,60.87,60.46,60.84,1355084
24-Jan-17,60.93,61.08,60.71,60.89,1775842
23-Jan-17,61.50,61.63,60.97,60.99,1917657
20-Jan-17,61.31,61.59,60.97,61.36,1763952
19-Jan-17,60.98,61.71,60.95,61.10,1892385
18-Jan-17,61.50,61.76,61.36,61.46,2107849
17-Jan-17,60.75,61.82,60.75,61.78,2505323
13-Jan-17,60.60,60.91,60.19,60.58,1684275
12-Jan-17,60.82,60.98,60.12,60.61,2496262
11-Jan-17,60.23,61.09,60.18,60.88,2475967
10-Jan-17,60.33,60.48,59.89,60.07,1495406
9-Jan-17,61.20,61.42,60.20,60.30,1939980
6-Jan-17,60.34,61.35,60.13,61.22,3100254
5-Jan-17,60.66,61.39,60.18,60.54,3938976
4-Jan-17,60.61,60.98,60.25,60.59,1787997
3-Jan-17,60.81,60.82,60.08,60.37,1731285
30-Dec-16,61.12,61.23,60.55,60.77,1678296
29-Dec-16,60.25,61.21,60.12,61.09,1080562
28-Dec-16,60.73,60.73,60.01,60.08,998453
27-Dec-16,60.86,61.34,60.66,61.18,909350
